Global Position X,Global Position Y,Global Position Z,fixationID,Time,LayerNumber
-0.4195145,1.093334,1.584554,-1,2.263367,0
-0.3801596,1.089234,1.578699,-1,2.263367,0
-0.4186603,1.097206,1.583309,0,2.278821,0
-0.3905522,1.094006,1.578113,-1,2.278821,0
-0.4184112,1.094265,1.584058,0,2.285673,0
-0.3903081,1.091054,1.578884,0,2.285673,0
-0.4179959,1.091356,1.584762,0,2.301284,0
-0.3898979,1.088132,1.579612,0,2.301284,0
-0.4180553,1.082964,1.587068,0,2.31463,0
-0.3899655,1.079767,1.581961,0,2.31463,0
-0.4090643,1.085268,1.584501,0,2.328515,0
-0.375515,1.081898,1.580604,0,2.328515,0
-0.4072067,1.082101,1.584988,0,2.343605,0
-0.3736917,1.078771,1.58142,0,2.343605,0
-0.4083973,1.08603,1.584146,0,2.355972,0
-0.3748423,1.082748,1.580351,0,2.355972,0
-0.4083935,1.086027,1.584146,0,2.368475,0
-0.3748385,1.082745,1.580352,0,2.368475,0
-0.4078292,1.085503,1.584171,0,2.383098,0
-0.3742813,1.082246,1.580475,0,2.383098,0
-0.4015656,1.08434,1.58316,0,2.396614,0
-0.3737213,1.081746,1.580599,0,2.396614,0
-0.4142098,1.087557,1.584971,0,2.409393,0
-0.3861733,1.084387,1.580198,0,2.409393,0
-0.4174179,1.090007,1.585004,0,2.424005,0
-0.3893573,1.086667,1.579906,0,2.424005,0
-0.4199919,1.090707,1.585377,0,2.439291,0
-0.3919404,1.08733,1.580272,0,2.439291,0
-0.4222973,1.091436,1.585682,0,2.452638,0
-0.394253,1.088025,1.580571,0,2.452638,0
-0.4246151,1.092171,1.585989,0,2.466313,0
-0.3965778,1.088726,1.580871,0,2.466313,0
-0.4305133,1.097017,1.585956,0,2.478316,0
-0.402467,1.093684,1.580745,0,2.478316,0
-0.4503384,1.105991,1.587845,0,2.491846,0
-0.404932,1.100527,1.579396,0,2.491846,0
-0.4507749,1.10557,1.588055,0,2.507856,0
-0.4053708,1.10008,1.579615,0,2.507856,0
-0.4532256,1.106643,1.588299,0,2.519998,0
-0.4078096,1.101145,1.579858,0,2.519998,0
-0.4498865,1.107014,1.587466,0,2.534304,0
-0.4160216,1.102909,1.581174,0,2.534304,0
-0.4523181,1.101477,1.589512,0,2.547836,0
-0.4184489,1.097563,1.583166,0,2.547836,0
-0.4726908,1.097523,1.595052,0,2.561874,0
-0.4387941,1.093679,1.588681,0,2.561874,0
-0.474905,1.094784,1.596285,0,2.575274,0
-0.441011,1.091002,1.589898,0,2.575274,0
-0.4772538,1.093874,1.597055,0,2.589847,0
-0.4433593,1.090129,1.590651,0,2.589847,0
-0.4619845,1.091033,1.594481,0,2.605447,0
-0.4281275,1.087332,1.58808,0,2.605447,0
-0.4568467,1.082159,1.595781,0,2.618888,0
-0.4229993,1.078542,1.589359,0,2.618888,0
-0.445646,1.084043,1.592814,0,2.630836,0
-0.417671,1.081062,1.587511,0,2.630836,0
-0.4439579,1.080581,1.59339,0,2.644505,0
-0.4159743,1.077709,1.588084,0,2.644505,0
-0.4442804,1.077873,1.594201,0,2.658375,0
-0.4163005,1.075057,1.588894,0,2.658375,0
-0.4442062,1.08072,1.593406,0,2.672136,0
-0.4162183,1.07792,1.588077,0,2.672136,0
-0.444074,1.080695,1.593384,0,2.686859,0
-0.4160981,1.077746,1.5881,0,2.686859,0
-0.456498,1.07421,1.597876,0,2.700655,0
-0.4168528,1.070114,1.590391,0,2.700655,0
-0.4564716,1.075072,1.597635,0,2.714501,0
-0.4168211,1.070997,1.590138,0,2.714501,0
-0.4567766,1.073614,1.5981,0,2.729077,0
-0.4171266,1.069568,1.590602,0,2.729077,0
-0.4738227,1.085142,1.598682,0,2.743247,0
-0.4282629,1.080393,1.590005,0,2.743247,0
-0.4736605,1.090601,1.597155,0,2.758347,0
-0.4280946,1.085825,1.588484,0,2.758347,0
-0.4575856,1.071913,1.598742,0,2.771319,0
