FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.4347923,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
5,0.4512898,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,0.4586866,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
7,0.4740387,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
8,0.4859422,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
9,0.5035729,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
10,0.5145687,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
11,0.5291069,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
12,0.5445265,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
13,0.5648788,True,,0.009589289,0.02167065,0.06962123,0.06075094,0.3290371,0.3119031,0,0,0.2093112,0.2239013,1.401298E-45,1.401298E-45,0.006688367,0,0.006903676,0.0002153209,0,0.007748143,0.01302439,0,0,0,0.01061264,0.01130854,0.02129025,0.06500546,0.05555484,0.08597379,0.001990779,0.0006178737,0.03244079,0.01491927,0.03581049,0.03566936,0.03933568,0.06211857,0.03923198,0.04980045,1.9807E-33,1.401298E-45,0.1006157,0.1096998,0.0250505,0.02659322,0.04308929,0.05170365,0.04191942,0.04273874,0.04832588,0.0237118,0.08091705,0.03546308,0.02344624,0.01064509,0.01108867,0.1703833,0.1610764,1.025715E-39,0.0152628,0,0,0.1358974,0.2066728,1,0
14,0.5876607,True,,0.009589289,0.02167065,0.06962123,0.06075094,0.3290371,0.3119031,0,0,0.2093112,0.2239013,1.401298E-45,1.401298E-45,0.006688367,0,0.006903676,0.0002153209,0,0.007748143,0.01302439,0,0,0,0.01061264,0.01130854,0.02129025,0.06500546,0.05555484,0.08597379,0.001990779,0.0006178737,0.03244079,0.01491927,0.03581049,0.03566936,0.03933568,0.06211857,0.03923198,0.04980045,1.9807E-33,1.401298E-45,0.1006157,0.1096998,0.0250505,0.02659322,0.04308929,0.05170365,0.04191942,0.04273874,0.04832588,0.0237118,0.08091705,0.03546308,0.02344624,0.01064509,0.01108867,0.1703833,0.1610764,1.025715E-39,0.0152628,0,0,0.1358974,0.2066728,1,0
15,0.6041055,True,,0.0004585253,0.001011757,0.01160504,0.0009640687,0.1400465,0.1188013,0,0,0.03354751,0.07604845,0.02084872,0.03132538,0.0001509233,0,0.0001560097,5.086447E-06,0,0.01823561,0.004924521,0,0,0,0.05838023,0.03720577,0.1476052,0.01155123,0.01143635,0.02241515,4.630634E-05,1.532242E-05,0.04234626,0.03156609,0.03203202,0.03202731,0.0007252729,0.0009625015,0.0007220327,0.0008415505,4.957176E-35,0,0.03295961,0.03305823,0.01096549,0.01098979,0.05299408,0.0218765,0.05297194,0.0217331,0.01135509,0.0004866686,0.03802728,0.02160041,0.02134262,0.0002414318,0.0002497672,0.05455478,0.06507891,0.0187599,0.04003997,0,0,0.1174823,0.1182918,1,0
16,0.6161519,True,,0.0004585253,0.001011757,0.01160504,0.0009640687,0.1400465,0.1188013,0,0,0.03354751,0.07604845,0.02084872,0.03132538,0.0001509233,0,0.0001560097,5.086447E-06,0,0.01823561,0.004924521,0,0,0,0.05838023,0.03720577,0.1476052,0.01155123,0.01143635,0.02241515,4.630634E-05,1.532242E-05,0.04234626,0.03156609,0.03203202,0.03202731,0.0007252729,0.0009625015,0.0007220327,0.0008415505,4.957176E-35,0,0.03295961,0.03305823,0.01096549,0.01098979,0.05299408,0.0218765,0.05297194,0.0217331,0.01135509,0.0004866686,0.03802728,0.02160041,0.02134262,0.0002414318,0.0002497672,0.05455478,0.06507891,0.0187599,0.04003997,0,0,0.1174823,0.1182918,1,0
17,0.628566,True,,0.0004585253,0.001011757,0.01160504,0.0009640687,0.1400465,0.1188013,0,0,0.03354751,0.07604845,0.02084872,0.03132538,0.0001509233,0,0.0001560097,5.086447E-06,0,0.01823561,0.004924521,0,0,0,0.05838023,0.03720577,0.1476052,0.01155123,0.01143635,0.02241515,4.630634E-05,1.532242E-05,0.04234626,0.03156609,0.03203202,0.03202731,0.0007252729,0.0009625015,0.0007220327,0.0008415505,4.957176E-35,0,0.03295961,0.03305823,0.01096549,0.01098979,0.05299408,0.0218765,0.05297194,0.0217331,0.01135509,0.0004866686,0.03802728,0.02160041,0.02134262,0.0002414318,0.0002497672,0.05455478,0.06507891,0.0187599,0.04003997,0,0,0.1174823,0.1182918,1,0
18,0.6429104,True,,0.0004585253,0.001011757,0.01160504,0.0009640687,0.1400465,0.1188013,0,0,0.03354751,0.07604845,0.02084872,0.03132538,0.0001509233,0,0.0001560097,5.086447E-06,0,0.01823561,0.004924521,0,0,0,0.05838023,0.03720577,0.1476052,0.01155123,0.01143635,0.02241515,4.630634E-05,1.532242E-05,0.04234626,0.03156609,0.03203202,0.03202731,0.0007252729,0.0009625015,0.0007220327,0.0008415505,4.957176E-35,0,0.03295961,0.03305823,0.01096549,0.01098979,0.05299408,0.0218765,0.05297194,0.0217331,0.01135509,0.0004866686,0.03802728,0.02160041,0.02134262,0.0002414318,0.0002497672,0.05455478,0.06507891,0.0187599,0.04003997,0,0,0.1174823,0.1182918,1,0
19,0.6577023,True,,0.0004585253,0.001011757,0.01160504,0.0009640687,0.1400465,0.1188013,0,0,0.03354751,0.07604845,0.02084872,0.03132538,0.0001509233,0,0.0001560097,5.086447E-06,0,0.01823561,0.004924521,0,0,0,0.05838023,0.03720577,0.1476052,0.01155123,0.01143635,0.02241515,4.630634E-05,1.532242E-05,0.04234626,0.03156609,0.03203202,0.03202731,0.0007252729,0.0009625015,0.0007220327,0.0008415505,4.957176E-35,0,0.03295961,0.03305823,0.01096549,0.01098979,0.05299408,0.0218765,0.05297194,0.0217331,0.01135509,0.0004866686,0.03802728,0.02160041,0.02134262,0.0002414318,0.0002497672,0.05455478,0.06507891,0.0187599,0.04003997,0,0,0.1174823,0.1182918,1,0
20,0.6711208,True,,0.0003216639,0.0007059718,0.003366881,0.0004407653,0.2476937,0.1841025,0,0,0.03819409,0.1207401,0.06811188,0.06848325,7.927201E-05,0,8.198655E-05,2.714539E-06,0,0.01705743,0.003708267,0,0,0,0.05022996,0.03370739,0.1757865,0.003372714,0.01102325,0.004799202,2.458173E-05,8.312259E-06,0.02612635,0.01549717,0.08912107,0.08911292,0.0003530696,0.0004354522,0.0003512334,0.0003952636,2.697391E-35,0,0.01527913,0.005390929,0.01789992,0.01788577,0.1104167,0.03767904,0.1000274,0.02852646,0.00342018,0.0002469604,0.05847763,0.02145138,0.01405312,0.007243615,0.007241203,0.1310167,0.1207201,0.01523933,0.0366355,0,0,0.2057042,0.2266788,1,0
21,0.6859949,True,,0.01165285,0.008019378,0.05239167,0.05291849,0.3130133,0.2887188,0,0,0.2105935,0.213744,0.01709597,0.01525653,0.01511877,1.136868E-13,0.01512039,1.893292E-06,0,0.01396495,0.006807589,0,0,0,0.03888769,0.02914972,0.03558334,0.03219202,0.04346786,0.04115534,0.02127993,5.848812E-06,0.02853068,0.0178599,0.04064459,0.0526795,0.0231331,0.05289949,0.02313105,0.04279041,1.901073E-35,0,0.09335848,0.1030008,0.0195227,0.01950772,0.06206696,0.04830304,0.06023477,0.03013777,0.03232244,0.01395723,0.07417154,0.02140099,0.01686068,0.008876778,0.008873767,0.1750012,0.1735408,0.01138495,0.02815913,0,0,0.1725909,0.200324,1,0
22,0.7026622,True,,0.01165285,0.008019378,0.05239167,0.05291849,0.3130133,0.2887188,0,0,0.2105935,0.213744,0.01709597,0.01525653,0.01511877,1.136868E-13,0.01512039,1.893292E-06,0,0.01396495,0.006807589,0,0,0,0.03888769,0.02914972,0.03558334,0.03219202,0.04346786,0.04115534,0.02127993,5.848812E-06,0.02853068,0.0178599,0.04064459,0.0526795,0.0231331,0.05289949,0.02313105,0.04279041,1.901073E-35,0,0.09335848,0.1030008,0.0195227,0.01950772,0.06206696,0.04830304,0.06023477,0.03013777,0.03232244,0.01395723,0.07417154,0.02140099,0.01686068,0.008876778,0.008873767,0.1750012,0.1735408,0.01138495,0.02815913,0,0,0.1725909,0.200324,1,0
23,0.7139276,True,,0.01165285,0.008019378,0.05239167,0.05291849,0.3130133,0.2887188,0,0,0.2105935,0.213744,0.01709597,0.01525653,0.01511877,1.136868E-13,0.01512039,1.893292E-06,0,0.01396495,0.006807589,0,0,0,0.03888769,0.02914972,0.03558334,0.03219202,0.04346786,0.04115534,0.02127993,5.848812E-06,0.02853068,0.0178599,0.04064459,0.0526795,0.0231331,0.05289949,0.02313105,0.04279041,1.901073E-35,0,0.09335848,0.1030008,0.0195227,0.01950772,0.06206696,0.04830304,0.06023477,0.03013777,0.03232244,0.01395723,0.07417154,0.02140099,0.01686068,0.008876778,0.008873767,0.1750012,0.1735408,0.01138495,0.02815913,0,0,0.1725909,0.200324,1,0
24,0.7268369,True,,0.01165285,0.008019378,0.05239167,0.05291849,0.3130133,0.2887188,0,0,0.2105935,0.213744,0.01709597,0.01525653,0.01511877,1.136868E-13,0.01512039,1.893292E-06,0,0.01396495,0.006807589,0,0,0,0.03888769,0.02914972,0.03558334,0.03219202,0.04346786,0.04115534,0.02127993,5.848812E-06,0.02853068,0.0178599,0.04064459,0.0526795,0.0231331,0.05289949,0.02313105,0.04279041,1.901073E-35,0,0.09335848,0.1030008,0.0195227,0.01950772,0.06206696,0.04830304,0.06023477,0.03013777,0.03232244,0.01395723,0.07417154,0.02140099,0.01686068,0.008876778,0.008873767,0.1750012,0.1735408,0.01138495,0.02815913,0,0,0.1725909,0.200324,1,0
