FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
1392,7.869745,-0.3431264,1.329694,1.581907,-1,0,Sphere
1392,7.869745,-0.3461833,1.329598,1.581955,-1,0,Sphere
1393,7.886983,-0.3452307,1.323969,1.580303,0,0,Sphere
1393,7.886983,-0.3482283,1.323872,1.580349,-1,0,Sphere
1394,7.893458,-0.3351323,1.274795,1.569367,0,0,Sphere
1394,7.893458,-0.3371317,1.274716,1.569391,0,0,Sphere
1395,7.90921,-0.3337332,1.268804,1.568796,1,0,Sphere
1395,7.90921,-0.3356799,1.268719,1.568819,0,0,Sphere
1396,7.924866,-0.3332814,1.256874,1.567696,1,0,Sphere
1396,7.924866,-0.3351422,1.256787,1.567717,1,0,Sphere
1397,7.934605,-0.3401814,1.256545,1.567774,1,0,Sphere
1397,7.934605,-0.3420874,1.256456,1.567796,1,0,Sphere
1398,7.948456,-0.3396651,1.250744,1.567234,1,0,Sphere
1398,7.948456,-0.3415294,1.250655,1.567255,1,0,Sphere
1399,7.961807,-0.3464872,1.251497,1.56741,1,0,Sphere
1399,7.961807,-0.3415883,1.251734,1.567355,1,0,Sphere
1400,7.975674,-0.3436757,1.266901,1.568777,1,0,Sphere
1400,7.975674,-0.338833,1.267138,1.568723,1,0,Sphere
1401,7.988668,-0.3431903,1.264524,1.568552,1,0,Sphere
1401,7.988668,-0.3383274,1.264768,1.568498,1,0,Sphere
1402,8.002792,-0.3426989,1.262128,1.568325,1,0,Sphere
1402,8.002792,-0.3378159,1.262377,1.568271,1,0,Sphere
1403,8.0172,-0.330933,1.296274,1.571937,1,0,Sphere
1403,8.0172,-0.3402427,1.295836,1.572041,1,0,Sphere
1404,8.030216,-0.330795,1.293523,1.571138,1,0,Sphere
1404,8.030216,-0.3400799,1.2931,1.571245,1,0,Sphere
1405,8.044566,-0.3307253,1.296877,1.572107,1,0,Sphere
1405,8.044566,-0.3400624,1.296462,1.572217,1,0,Sphere
1406,8.060312,-0.3303431,1.295874,1.571807,1,0,Sphere
1406,8.060312,-0.3396602,1.295459,1.571917,1,0,Sphere
1407,8.074154,-0.3299638,1.294879,1.57151,1,0,Sphere
1407,8.074154,-0.3392609,1.294464,1.571619,1,0,Sphere
1408,8.086255,-0.330139,1.30159,1.573456,1,0,Sphere
1408,8.086255,-0.3326657,1.301479,1.573486,1,0,Sphere
1409,8.100137,-0.3291595,1.302421,1.573672,1,0,Sphere
1409,8.100137,-0.3316937,1.302307,1.573702,1,0,Sphere
1410,8.11401,-0.3273625,1.301546,1.573375,1,0,Sphere
1410,8.11401,-0.3298732,1.301429,1.573403,1,0,Sphere
1411,8.127627,-0.326534,1.301191,1.573251,1,0,Sphere
1411,8.127627,-0.3290347,1.301073,1.573279,1,0,Sphere
1412,8.141787,-0.3257259,1.300533,1.573041,1,0,Sphere
1412,8.141787,-0.3282124,1.300415,1.573068,1,0,Sphere
1413,8.15703,-0.3259612,1.307085,1.574942,1,0,Sphere
1413,8.15703,-0.3282861,1.306976,1.574968,1,0,Sphere
1414,8.170597,-0.3229537,1.309762,1.575642,1,0,Sphere
1414,8.170597,-0.3252912,1.309655,1.575669,1,0,Sphere
1415,8.184492,-0.3286805,1.309011,1.575567,1,0,Sphere
1415,8.184492,-0.3312204,1.308895,1.575596,1,0,Sphere
1416,8.197648,-0.3272267,1.306062,1.574678,1,0,Sphere
1416,8.197648,-0.3297135,1.305945,1.574705,1,0,Sphere
1417,8.213547,-0.3259937,1.305312,1.57443,1,0,Sphere
1417,8.213547,-0.3284616,1.305194,1.574457,1,0,Sphere
1418,8.226825,-0.3179123,1.304904,1.574112,1,0,Sphere
1418,8.226825,-0.3342126,1.304123,1.574289,1,0,Sphere
1419,8.239632,-0.3176833,1.302697,1.573468,1,0,Sphere
1419,8.239632,-0.3339442,1.301945,1.573653,1,0,Sphere
1420,8.253315,-0.3171712,1.300251,1.572748,1,0,Sphere
1420,8.253315,-0.3335215,1.299489,1.572931,1,0,Sphere
1421,8.267024,-0.3160123,1.298938,1.572339,1,0,Sphere
1421,8.267024,-0.3323289,1.298178,1.572523,1,0,Sphere
1422,8.28075,-0.3150893,1.2976,1.57193,1,0,Sphere
1422,8.28075,-0.3313751,1.296841,1.572112,1,0,Sphere
1423,8.294635,-0.3141671,1.296291,1.571528,1,0,Sphere
1423,8.294635,-0.3235046,1.295854,1.571633,1,0,Sphere
1424,8.308865,-0.3138959,1.294659,1.571049,1,0,Sphere
1424,8.308865,-0.3231979,1.294211,1.571149,1,0,Sphere
1425,8.322657,-0.3058169,1.281199,1.569489,1,0,Sphere
1425,8.322657,-0.3146524,1.280757,1.569594,1,0,Sphere
1426,8.336505,-0.3050207,1.280572,1.569413,1,0,Sphere
1426,8.336505,-0.3138453,1.28013,1.569523,1,0,Sphere
1427,8.350282,-0.3043709,1.279763,1.569322,1,0,Sphere
1427,8.350282,-0.3131854,1.27932,1.569439,1,0,Sphere
1428,8.366732,-0.3030156,1.275437,1.568877,1,0,Sphere
1428,8.366732,-0.2990179,1.27564,1.568815,1,0,Sphere
1429,8.380543,-0.2992153,1.276488,1.568901,1,0,Sphere
1429,8.380543,-0.2951995,1.276685,1.568839,1,0,Sphere
1430,8.392764,-0.2497132,0.9604625,1.634658,1,0,Sphere
1430,8.392764,-0.2460196,0.9607407,1.635146,1,0,Sphere
1431,8.406301,-0.246584,0.9684074,1.630973,2,0,Sphere
1431,8.406301,-0.2427292,0.9687043,1.631478,1,0,Sphere
1432,8.420426,-0.2449723,0.9699087,1.630452,2,0,Sphere
1432,8.420426,-0.2410891,0.9702082,1.630961,2,0,Sphere
1433,8.434116,-0.7499605,-1,7.577407,2,0,Plane
1433,8.434116,-0.931386,-1,7.491112,2,0,Plane
1434,8.447905,-0.7792239,-1,8.097739,3,0,Plane
1434,8.447905,-0.9756773,-1,8.001759,2,0,Plane
1435,8.462203,-0.6535357,-1,6.94084,3,0,Plane
1435,8.462203,-0.683951,-1,6.927178,3,0,Plane
1436,8.475577,-0.6569792,-1,7.204357,4,0,Plane
1436,8.475577,-0.6905061,-1,7.188882,3,0,Plane
1437,8.489257,-0.6585857,-1,7.353714,4,0,Plane
1437,8.489257,-0.693889,-1,7.33723,4,0,Plane
1438,8.503687,-0.6602163,-1,7.507178,4,0,Plane
1438,8.503687,-0.6973459,-1,7.489646,4,0,Plane
1439,8.520169,-0.6294894,-1,7.66929,4,0,Plane
1439,8.520169,-0.6685632,-1,7.650635,4,0,Plane
1440,8.533383,-0.6150026,-1,8.040505,4,0,Plane
1440,8.533383,-0.6585317,-1,8.01914,4,0,Plane
1441,8.545178,-0.5689877,-1,8.276516,4,0,Plane
1441,8.545178,-0.6153831,-1,8.253362,4,0,Plane
1442,8.559553,-0.5448616,-1,8.379571,4,0,Plane
1442,8.559553,-0.5925092,-1,8.35538,4,0,Plane
1443,8.573048,-0.5360469,-1,8.584314,4,0,Plane
1443,8.573048,-0.5861741,-1,8.558425,4,0,Plane
1444,8.587617,-0.4500441,-1,8.841021,4,0,Plane
1444,8.587617,-0.5033826,-1,8.812978,4,0,Plane
1445,8.60236,-0.4274494,-1,8.827858,4,0,Plane
1445,8.60236,-0.4806609,-1,8.799779,4,0,Plane
1446,8.61658,-0.3981733,-1,9.017178,4,0,Plane
1446,8.61658,-0.453733,-1,8.987396,4,0,Plane
1447,8.629766,-0.4010703,-1,9.222195,4,0,Plane
1447,8.629766,-0.4590629,-1,9.189882,4,0,Plane
1448,8.643422,-0.390269,-1,9.42302,4,0,Plane
1448,8.643422,-0.450716,-1,9.388596,4,0,Plane
1449,8.657417,-0.3790408,-1,9.631951,4,0,Plane
1449,8.657417,-0.4420479,-1,9.595261,4,0,Plane
1450,8.675519,-0.3674182,-1,9.848451,4,0,Plane
1450,8.675519,-0.4330795,-1,9.809337,4,0,Plane
