fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.3455999,1.326221,1.580963,7.880087,-0.01723766
1,-0.3278565,1.287501,1.571317,8.132646,0.4713326
2,-0.2453845,0.9666913,1.632091,8.406469,0.01412487
3,-0.8430942,-1,7.853151,8.442389,-0.01378822
4,-0.5112394,-0.8563093,8.913587,8.758724,0.5855494
5,-0.2467934,0.9367679,1.647759,9.088753,0.01393032
6,-0.3378347,1.241195,1.566268,9.420205,0.5965414
7,-0.136679,1.488219,1.706152,9.970131,0.4180775
8,-0.04399671,1.009652,1.70151,10.21779,0.01124477
9,-0.2793024,-0.4800585,8.129362,10.58302,0.641428
10,-0.187969,0.9835961,1.638149,10.94739,0.02975559
11,-0.3068732,1.293506,1.571468,11.22345,0.4726267
12,-0.278465,0.8720137,1.692026,11.49182,-0.01419163
13,-0.2682542,0.7937221,1.782435,11.73841,0.444952
14,-0.1375999,1.219401,1.603314,12.21177,0.4174633
15,-0.2819903,1.240399,1.567356,12.45825,0.01342201
16,-0.5005834,1.315633,1.608213,12.8452,0.7074375
17,-0.1806819,1.372208,1.619303,13.4996,0.5423546
18,-0.1511316,1.082563,1.614062,13.80297,-0.01397514
19,-0.1886595,0.913412,1.684401,14.0297,0.4092264
20,-0.1769141,1.281481,1.59468,14.41649,0.2689581
21,-0.1050634,1.291935,1.624538,14.59996,0.0415802
22,-0.02369302,1.280323,1.676272,14.78711,0.2755508
23,-0.08786272,1.245154,1.6295,14.96557,0.01263428
24,-0.344525,1.026308,1.595568,15.17665,0.3629007
