fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.001524323,0.8972248,3,19.98022,0.03490448
1,0.05338401,0.7214015,3,20.12799,0.2061729
2,-0.1584843,0.9099273,3,20.26923,0.01389694
3,-0.2716995,0.9558623,3,20.3241,0.04325676
4,-0.1407606,1.011765,3,20.44081,0.1391144
5,-0.06438334,0.8407573,3,20.54143,-0.01462555
6,-0.05505759,0.760784,3,20.58787,0.04207611
7,-0.02326943,0.8440742,3,20.68469,0.09641838
8,-0.007621835,0.9220306,3,20.83059,0.1388264
9,0.008537014,0.8446323,3,21.24755,0.6403961
10,-0.552021,0.6510895,3,21.85995,0.5295963
11,-0.7047876,0.5306037,3,23.1338,1.96303
12,-0.002352126,0.4596405,3,24.2202,0.1536522
13,0.6062298,0.5179987,3,24.63052,0.612711
14,0.04888614,1.038823,3,26.08543,2.242432
15,0.2777402,1.149741,3,27.24034,-0.01350212
16,0.30667,1.232333,3,27.28452,0.04194832
17,0.3871962,1.239172,3,27.33621,-0.01441193
18,0.2779808,1.142038,3,27.7146,0.7102242
19,0.1137856,1.164182,3,28.1337,0.06975746
20,0.09561013,1.054887,3,28.20473,0.01351166
21,0.005785302,1.120849,3,28.29314,0.1110001
22,0.207169,1.129049,3,28.43922,0.1238747
23,-0.04252322,1.282893,3,28.59921,0.1386013
24,-0.2512452,1.567602,3,28.70619,0.01418304
25,-0.4185236,1.67818,3,28.74257,-0.01359367
26,-0.552938,1.768563,3,28.77198,-0.01372147
27,-0.7178795,1.877069,3,28.81564,0.04210663
28,-0.8698125,2.064644,3,28.93335,0.1402264
29,-0.8207443,2.119617,3,29.07973,0.09789467
30,-0.7718778,1.992055,3,29.15955,-0.01405716
31,-0.8197338,1.800318,3,29.26047,0.1535702
32,-0.8305175,1.827861,3,29.3701,-0.01545525
33,-0.7317936,1.821686,3,29.46244,0.1402111
34,-0.8162771,1.719071,3,29.59512,0.07046127
35,-0.6411882,1.755951,3,29.74091,0.1690521
36,-0.5974514,1.54361,3,29.922,0.141161
37,-0.5066387,1.254526,3,30.15811,0.2802505
38,-0.6220783,1.041052,3,30.46449,0.279398
39,-0.9994091,0.9017792,3,31.20198,1.142668
40,-1.110772,1.359013,3,32.01661,0.4313526
41,-0.5653499,1.122566,3,32.27067,0.01549911
42,0.5947801,0.7332826,3,33.01182,1.420471
43,0.6375294,0.6559258,3,33.82033,0.1397705
44,0.6600344,0.4979005,3,33.96142,0.02900314
45,0.5574285,0.299472,3,34.03603,0.07064056
46,0.5008152,0.0634819,3,34.12086,0.04174042
47,0.5600206,-0.1345227,3,34.17728,0.01334763
48,0.5306572,-0.2050743,3,34.52478,0.04165268
49,0.371798,-0.1966937,3,34.58601,0.02568817
50,0.729364,-0.0916872,3,34.79869,-0.01450348
51,0.7097524,0.08064476,3,34.82652,-0.01324081
52,0.6571068,0.03554261,3,34.86019,0.01345825
53,0.5576767,0.02650557,3,34.89754,-0.01414108
54,0.4738545,0.2573107,3,34.94934,0.02785873
55,0.5391181,0.384034,3,34.99338,-0.01368713
56,0.6909904,0.6821217,3,35.02751,0.01582718
57,0.6396493,1.03118,3,35.08137,0.04195786
58,0.4141704,1.238103,3,35.13246,-0.01395035
59,0.3004496,1.304315,3,35.16031,-0.01390839
60,0.1962794,1.42374,3,35.18978,-0.01577759
61,0.08746517,1.718869,3,35.27191,-0.01367569
