Global Position X,Global Position Y,Global Position Z,fixationID,Time,LayerNumber
-0.3628199,1.209153,1.563704,-1,14.04174,0
-0.3169277,1.208212,1.562682,-1,14.04174,0
-0.3806915,1.215773,1.564671,0,14.0651,0
-0.3348206,1.21483,1.563683,-1,14.0651,0
-0.3743497,1.217567,1.564736,0,14.07777,0
-0.328498,1.216572,1.563722,0,14.07777,0
-0.3732093,1.223957,1.565304,0,14.0837,0
-0.3273942,1.222946,1.564314,0,14.0837,0
-0.3685725,1.227688,1.565573,0,14.1,0
-0.3227848,1.226706,1.564583,0,14.1,0
-0.3669528,1.228264,1.565601,0,14.11283,0
-0.3211709,1.227277,1.564605,0,14.11283,0
-0.3594564,1.228719,1.565521,0,14.12879,0
-0.3136811,1.22772,1.564496,0,14.12879,0
-0.3590309,1.237465,1.56632,0,14.14262,0
-0.3133003,1.236436,1.565328,0,14.14262,0
-0.3418003,1.232616,1.565538,0,14.15638,0
-0.3040357,1.231755,1.564689,0,14.15638,0
-0.3432278,1.233957,1.565697,0,14.17077,0
-0.3054735,1.233158,1.564853,0,14.17077,0
-0.342296,1.235887,1.565864,0,14.18595,0
-0.3045565,1.235089,1.565021,0,14.18595,0
-0.3588085,1.231688,1.565787,0,14.20074,0
-0.3151563,1.23078,1.564821,0,14.20074,0
-0.3637481,1.230452,1.565751,0,14.21555,0
-0.3200848,1.229501,1.564797,0,14.21555,0
-0.3556242,1.229159,1.565486,0,14.23192,0
-0.3120025,1.228163,1.564504,0,14.23192,0
-0.356959,1.229648,1.56556,0,14.24468,0
-0.313338,1.22863,1.564576,0,14.24468,0
-0.3579592,1.230433,1.565656,0,14.25897,0
-0.3143413,1.229398,1.564671,0,14.25897,0
-0.3572661,1.244082,1.566899,0,14.27353,0
-0.3115664,1.242971,1.565922,0,14.27353,0
-0.3659851,1.239776,1.56664,0,14.29073,0
-0.320247,1.238663,1.565684,0,14.29073,0
-0.372109,1.237421,1.56652,0,14.30341,0
-0.3263454,1.236273,1.565577,0,14.30341,0
-0.3753776,1.236526,1.566489,0,14.31591,0
-0.329603,1.23536,1.565555,0,14.31591,0
-0.3786522,1.235801,1.566474,0,14.32947,0
-0.332868,1.234619,1.56555,0,14.32947,0
-0.3732058,1.234868,1.566303,0,14.34376,0
-0.3274162,1.233658,1.565347,0,14.34376,0
-0.3744443,1.234736,1.566311,0,14.35823,0
-0.3286475,1.233592,1.565365,0,14.35823,0
-0.3967939,1.228844,1.567625,0,14.37182,0
-0.3507917,1.227294,1.565208,0,14.37182,0
-0.3924794,1.229207,1.56672,0,14.38677,0
-0.3465838,1.228056,1.565196,0,14.38677,0
-0.3936091,1.229031,1.56695,0,14.40071,0
-0.347687,1.227841,1.565198,0,14.40071,0
-0.394343,1.209523,1.565279,0,14.41441,0
