ObjectName, first found frame Count, firstFoundTime, Cumulative Gaze Duration, numberOfGazes, number of gaze points, mean gaze duration
Sphere,356,5.791136,8.62324,2,1244,4.31162
Cube,-1,-1,0,0,0,0
