fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,0.1675767,-0.979359,9.331173,5.617004,0.2427731
1,-0.3218604,-1,8.395123,5.773947,-0.01400328
2,-0.1824136,0.9117796,1.685074,5.800778,-0.01607037
3,-0.2387931,1.215366,1.572808,6.037953,0.3992586
4,-0.1755033,1.307152,1.599805,6.586241,0.6395402
5,-0.1779105,1.086112,1.602405,6.938091,-0.01380491
6,-0.2048974,0.8560827,1.727653,7.114855,0.3058681
7,-0.1143733,0.9279193,1.705615,7.301872,-0.01410961
8,0.007863526,1.225431,1.698038,7.332452,0.01428366
9,0.008613289,1.364044,1.736783,7.531575,0.3340697
10,-0.1716672,1.311221,1.60258,7.737096,0.01610565
11,-0.4439029,1.295768,1.585346,7.772828,-0.0118475
12,-0.5092463,1.315106,1.611509,8.115148,0.6391091
13,-0.4814717,1.220893,1.585396,8.466879,-0.01362228
14,-0.4490493,0.9866436,1.628278,8.513385,0.04127979
15,-0.4496076,1.135663,1.583432,8.879205,0.6392689
16,-0.3893032,1.117478,1.572488,9.236342,0.01364136
17,-0.2185258,1.105573,1.585579,9.51833,0.4973164
18,-0.212954,1.205622,1.576036,9.799848,-0.01455402
19,-0.2275094,1.367676,1.604415,9.833481,0.01393795
20,-0.2268097,1.433359,1.634274,10.304,0.8733072
21,-0.04702427,1.174735,1.654,10.77098,-0.01391411
22,-0.02002778,1.035449,1.710896,11.07915,0.5676432
23,-0.1059195,1.028106,1.65264,11.40272,0.01643276
24,-0.3307841,1.009018,1.60233,11.68329,0.5003014
25,-0.3365056,1.15948,1.566664,11.96527,-0.01314831
26,-0.3495353,1.401136,1.607004,12.28052,0.5830526
27,-0.2077146,1.565624,1.749371,12.91953,0.6415253
28,-0.1304197,1.357467,1.634282,13.27215,-0.01086426
29,-0.0700974,1.093675,1.651865,13.29814,-0.0138607
30,-0.06878544,0.9921807,1.694265,13.62777,0.6111565
31,-0.1007743,1.005864,1.664202,13.96502,-0.01381207
32,-0.1948336,1.120449,1.588626,13.99951,0.01674271
33,-0.199469,1.179694,1.580977,14.1015,0.141552
34,-0.1116863,1.186391,1.61314,14.20067,-0.01259804
35,0.03078377,0.9317998,1.851766,14.23429,0.01338387
36,0.5675144,-0.6976993,10.01,14.27003,-0.01364613
37,1.161484,-0.5625336,10.01,14.30432,0.01669312
38,1.576324,-0.6530254,10.01,14.41987,0.1670675
39,1.97671,-0.8687571,10.01,14.58037,0.09861755
40,1.492764,-0.9262889,10.01,14.66461,0.0135088
41,0.05461831,-0.9536703,10.01,14.7011,-0.01545906
42,-0.121173,1.02835,1.644094,14.73471,0.01360035
43,-0.2014842,1.181119,1.579823,14.82966,0.1234818
