FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
334,5.492003,0.2654529,-0.869164,10.01,-1,0,Plane (1)
334,5.492003,0.1997948,-0.8717947,10.01,-1,0,Plane (1)
335,5.507214,0.2687433,-0.8886018,10.01,0,0,Plane (1)
335,5.507214,0.2030404,-0.8912835,10.01,-1,0,Plane (1)
336,5.516602,0.2731057,-0.9170532,10.01,0,0,Plane (1)
336,5.516602,0.2073322,-0.9197569,10.01,0,0,Plane (1)
337,5.529635,0.2798758,-0.9526391,10.01,0,0,Plane (1)
337,5.529635,0.214012,-0.9554389,10.01,0,0,Plane (1)
338,5.54326,0.2874441,-0.9982414,10.01,0,0,Plane (1)
338,5.54326,0.2214604,-1.001145,10.01,0,0,Plane (1)
339,5.557875,0.3680509,-1,9.861161,0,0,Plane
339,5.557875,0.3036867,-1,9.84892,0,0,Plane
340,5.571073,0.3545698,-1,9.760329,0,0,Plane
340,5.571073,0.2915169,-1,9.748942,0,0,Plane
341,5.584267,0.3411027,-1,9.669403,0,0,Plane
341,5.584267,0.2792268,-1,9.658365,0,0,Plane
342,5.598108,0.3240715,-1,9.583029,0,0,Plane
342,5.598108,0.2633191,-1,9.572036,0,0,Plane
343,5.615026,0.3064905,-1,9.425811,0,0,Plane
343,5.615026,0.2477555,-1,9.414944,0,0,Plane
344,5.626679,0.1785843,-1,9.262913,0,0,Plane
344,5.626679,0.1220503,-1,9.25236,0,0,Plane
345,5.63884,0.1632398,-1,9.123378,0,0,Plane
345,5.63884,0.1084893,-1,9.113006,0,0,Plane
346,5.655718,0.1457987,-1,9.006781,0,0,Plane
346,5.655718,0.09254473,-1,8.996499,0,0,Plane
347,5.666932,0.1270605,-1,8.886083,0,0,Plane
347,5.666932,0.07535731,-1,8.875762,0,0,Plane
348,5.680404,0.1091128,-1,8.794393,0,0,Plane
348,5.680404,0.05859565,-1,8.783995,0,0,Plane
349,5.6942,0.0881111,-1,8.706765,0,0,Plane
349,5.6942,0.03872835,-1,8.696474,0,0,Plane
350,5.708659,0.06982588,-1,8.620975,0,0,Plane
350,5.708659,0.02155125,-1,8.610597,0,0,Plane
351,5.722245,-0.005334906,-1,8.548753,0,0,Plane
351,5.722245,-0.05263714,-1,8.538538,0,0,Plane
352,5.736259,-0.02776201,-1,8.522469,0,0,Plane
352,5.736259,-0.07470545,-1,8.51222,0,0,Plane
353,5.749987,-0.04479589,-1,8.54167,0,0,Plane
353,5.749987,-0.0919626,-1,8.531519,0,0,Plane
354,5.765545,-0.2948047,-1,8.444067,0,0,Plane
354,5.765545,-0.3406329,-1,8.433969,0,0,Plane
355,5.779548,-0.3096665,-1,8.369266,1,0,Plane
355,5.779548,-0.3545313,-1,8.359048,0,0,Plane
356,5.791136,-0.179323,0.9135511,1.684694,1,0,Sphere
356,5.791136,-0.1797214,0.9135559,1.68454,1,0,Sphere
357,5.807207,-0.1841857,0.9105949,1.685439,2,0,Sphere
357,5.807207,-0.1846524,0.9106013,1.685258,1,0,Sphere
358,5.820107,-0.2375382,1.191144,1.57209,2,0,Sphere
358,5.820107,-0.2534068,1.190547,1.569373,2,0,Sphere
359,5.849155,-0.2414313,1.188401,1.571713,3,0,Sphere
359,5.849155,-0.2573182,1.187801,1.568993,2,0,Sphere
360,5.861528,-0.2504447,1.195812,1.569305,3,0,Sphere
360,5.861528,-0.2601945,1.195401,1.56764,3,0,Sphere
361,5.87379,-0.2605586,1.185691,1.56866,3,0,Sphere
361,5.87379,-0.2703644,1.185244,1.56699,3,0,Sphere
362,5.888036,-0.2545575,1.204317,1.568608,3,0,Sphere
