FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.3974108,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
5,0.4260156,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,0.441972,True,,0.02178968,0.007888776,0.02516445,0.02265597,0.1637221,0.13165,0,0,0.1851106,0.1648587,0,0,0.006409461,0,0.00640945,6.157504E-11,0.007511449,0.03065499,0,0,0,0,0.01301962,0.01225519,0.01554077,0.02335221,0.01102904,0.06704362,7.428492E-13,1.613049E-12,0.09067832,0.08572297,2.950013E-12,1.749671E-10,0.01411027,0.0148668,0.01401257,0.01377988,0,0,0.02542607,0.0307727,0.01453575,0.0206683,0.01064509,0.0197821,0.01064509,0.01510153,0.01948657,0.008271357,0.03730543,0.0176275,0.01064221,0.007248385,0.0004130638,0.08627384,0.1080911,0,0.001000434,0,0,0.01064509,0.02048161,1,0
7,0.4697441,True,,0.01691082,0.006327225,0.02352545,0.02213778,0.1590714,0.1254227,0,0,0.1705056,0.15647,0,0,0.01732143,0,0.01732082,4.339703E-11,0.007511449,0.03065499,0,0,0,0,0.01222307,0.01160739,0.01798498,0.02210526,0.01088915,0.06496805,5.235476E-13,1.13685E-12,0.0925323,0.08136094,2.079119E-12,1.233138E-10,0.01242366,0.01732613,0.01235868,0.01253647,0,0,0.02835496,0.03113972,0.01292869,0.02089404,0.01064509,0.02040646,0.01064509,0.01769097,0.02015178,0.009079115,0.03590889,0.01473313,0.01064306,0.008397411,0.0002679962,0.07092493,0.08716322,0,0.0008222254,0,0,0.01064509,0.02079607,1,0
8,0.4823369,True,,0.01691082,0.006327225,0.02352545,0.02213778,0.1590714,0.1254227,0,0,0.1705056,0.15647,0,0,0.01732143,0,0.01732082,4.339703E-11,0.007511449,0.03065499,0,0,0,0,0.01222307,0.01160739,0.01798498,0.02210526,0.01088915,0.06496805,5.235476E-13,1.13685E-12,0.0925323,0.08136094,2.079119E-12,1.233138E-10,0.01242366,0.01732613,0.01235868,0.01253647,0,0,0.02835496,0.03113972,0.01292869,0.02089404,0.01064509,0.02040646,0.01064509,0.01769097,0.02015178,0.009079115,0.03590889,0.01473313,0.01064306,0.008397411,0.0002679962,0.07092493,0.08716322,0,0.0008222254,0,0,0.01064509,0.02079607,1,0
9,0.4978271,True,,0.01033125,0.004130607,0.02210512,0.0216366,0.123443,0.1038358,0,0,0.1620857,0.1509804,0,0,0.001029372,0,0.001029372,2.155591E-11,0,0.0120384,0.01114606,0,0,0,0.01108852,0.01068402,0.0231723,0.02145025,0.01400335,0.06074195,2.600535E-13,5.646894E-13,0.08153494,0.06310159,1.032728E-12,6.125163E-11,0.01118302,0.01464954,0.01115619,0.01427275,0,0,0.03072523,0.03155738,0.01427274,0.02112159,0.01064509,0.02096,0.01064509,0.01731151,0.02081252,0.009941695,0.03869244,0.01217038,0.01064409,0.006528452,0.0001173314,0.05354109,0.06545985,0,0.000557019,0,0,0.01064509,0.01575425,1,0
10,0.511421,True,,0.01033125,0.004130607,0.02210512,0.0216366,0.123443,0.1038358,0,0,0.1620857,0.1509804,0,0,0.001029372,0,0.001029372,2.155591E-11,0,0.0120384,0.01114606,0,0,0,0.01108852,0.01068402,0.0231723,0.02145025,0.01400335,0.06074195,2.600535E-13,5.646894E-13,0.08153494,0.06310159,1.032728E-12,6.125163E-11,0.01118302,0.01464954,0.01115619,0.01427275,0,0,0.03072523,0.03155738,0.01427274,0.02112159,0.01064509,0.02096,0.01064509,0.01731151,0.02081252,0.009941695,0.03869244,0.01217038,0.01064409,0.006528452,0.0001173314,0.05354109,0.06545985,0,0.000557019,0,0,0.01064509,0.01575425,1,0
11,0.5260823,True,,0.01033125,0.004130607,0.02210512,0.0216366,0.123443,0.1038358,0,0,0.1620857,0.1509804,0,0,0.001029372,0,0.001029372,2.155591E-11,0,0.0120384,0.01114606,0,0,0,0.01108852,0.01068402,0.0231723,0.02145025,0.01400335,0.06074195,2.600535E-13,5.646894E-13,0.08153494,0.06310159,1.032728E-12,6.125163E-11,0.01118302,0.01464954,0.01115619,0.01427275,0,0,0.03072523,0.03155738,0.01427274,0.02112159,0.01064509,0.02096,0.01064509,0.01731151,0.02081252,0.009941695,0.03869244,0.01217038,0.01064409,0.006528452,0.0001173314,0.05354109,0.06545985,0,0.000557019,0,0,0.01064509,0.01575425,1,0
12,0.5405923,True,,0.01081882,0.003651826,0.02700555,0.02151694,0.1365533,0.09919386,0,0,0.1730964,0.1547664,0,0,0.02746197,0,0.02745904,1.519214E-11,0,0.005847207,0.0173824,0,0,0,0.01296948,0.01265478,0.02239218,0.02514337,0.01760392,0.06499888,1.832801E-13,3.979809E-13,0.09612004,0.06756192,7.278446E-13,4.316881E-11,0.01589249,0.01729745,0.01585046,0.01282842,0,0,0.03119947,0.03167338,0.0176025,0.0211781,0.01064509,0.01577901,0.01064509,0.01416474,0.02097436,0.01016779,0.04292206,0.01160905,0.004896306,0.008037769,7.884697E-05,0.04731015,0.04998968,0,0.0004589921,0,0,0.004901596,0.01797966,1,0
13,0.5547729,True,,0.01081882,0.003651826,0.02700555,0.02151694,0.1365533,0.09919386,0,0,0.1730964,0.1547664,0,0,0.02746197,0,0.02745904,1.519214E-11,0,0.005847207,0.0173824,0,0,0,0.01296948,0.01265478,0.02239218,0.02514337,0.01760392,0.06499888,1.832801E-13,3.979809E-13,0.09612004,0.06756192,7.278446E-13,4.316881E-11,0.01589249,0.01729745,0.01585046,0.01282842,0,0,0.03119947,0.03167338,0.0176025,0.0211781,0.01064509,0.01577901,0.01064509,0.01416474,0.02097436,0.01016779,0.04292206,0.01160905,0.004896306,0.008037769,7.884697E-05,0.04731015,0.04998968,0,0.0004589921,0,0,0.004901596,0.01797966,1,0
14,0.5684807,True,,0.008809286,0.002971433,0.02465967,0.02144047,0.137275,0.1178668,0,0,0.1774363,0.1568052,0,0,0.007566686,0,0.007566667,1.070698E-11,0,0.01203764,0.01112766,0,0,0,0.01218508,0.01193154,0.02195488,0.02315293,0.01471333,0.0572836,1.291706E-13,2.804856E-13,0.07280518,0.05845645,5.129641E-13,3.042414E-11,0.01356562,0.01402227,0.01824457,0.01199322,0,0,0.02628171,0.0261152,0.01926302,0.02121494,0.01064509,0.01801696,0.01064509,0.01258772,0.01557679,0.004781496,0.03875051,0.01126538,0.00693023,0.003941034,5.341494E-05,0.04476824,0.05164399,0,0.0003784371,0,0,0.006937892,0.01925716,1,0
15,0.5812601,True,,0.008809286,0.002971433,0.02465967,0.02144047,0.137275,0.1178668,0,0,0.1774363,0.1568052,0,0,0.007566686,0,0.007566667,1.070698E-11,0,0.01203764,0.01112766,0,0,0,0.01218508,0.01193154,0.02195488,0.02315293,0.01471333,0.0572836,1.291706E-13,2.804856E-13,0.07280518,0.05845645,5.129641E-13,3.042414E-11,0.01356562,0.01402227,0.01824457,0.01199322,0,0,0.02628171,0.0261152,0.01926302,0.02121494,0.01064509,0.01801696,0.01064509,0.01258772,0.01557679,0.004781496,0.03875051,0.01126538,0.00693023,0.003941034,5.341494E-05,0.04476824,0.05164399,0,0.0003784371,0,0,0.006937892,0.01925716,1,0
16,0.5959736,True,,0.008809286,0.002971433,0.02465967,0.02144047,0.137275,0.1178668,0,0,0.1774363,0.1568052,0,0,0.007566686,0,0.007566667,1.070698E-11,0,0.01203764,0.01112766,0,0,0,0.01218508,0.01193154,0.02195488,0.02315293,0.01471333,0.0572836,1.291706E-13,2.804856E-13,0.07280518,0.05845645,5.129641E-13,3.042414E-11,0.01356562,0.01402227,0.01824457,0.01199322,0,0,0.02628171,0.0261152,0.01926302,0.02121494,0.01064509,0.01801696,0.01064509,0.01258772,0.01557679,0.004781496,0.03875051,0.01126538,0.00693023,0.003941034,5.341494E-05,0.04476824,0.05164399,0,0.0003784371,0,0,0.006937892,0.01925716,1,0
17,0.6131606,True,,0.02195065,0.002705694,0.02333457,0.02139083,0.1514829,0.1175053,0,0,0.1792766,0.1647189,0,0,0.0310101,0,0.03100445,7.546072E-12,0.01371083,0.0368473,0,0,0,0,0.01379304,0.01359463,0.02170138,0.02224251,0.01309585,0.05476006,9.103695E-14,1.976808E-13,0.08348176,0.06574867,3.615272E-13,2.144234E-11,0.01233203,0.01705547,0.01952202,0.01665531,0,0,0.02861651,0.02821796,0.01532662,0.02123925,0.01064509,0.01442012,0.01064509,0.01175916,0.01774853,0.006949679,0.03677959,0.004933423,0.003355369,0.002039878,3.643107E-05,0.04779549,0.05240918,0,0.002238993,0,0,0.008216815,0.02001322,1,0
18,0.6263207,True,,0.02195065,0.002705694,0.02333457,0.02139083,0.1514829,0.1175053,0,0,0.1792766,0.1647189,0,0,0.0310101,0,0.03100445,7.546072E-12,0.01371083,0.0368473,0,0,0,0,0.01379304,0.01359463,0.02170138,0.02224251,0.01309585,0.05476006,9.103695E-14,1.976808E-13,0.08348176,0.06574867,3.615272E-13,2.144234E-11,0.01233203,0.01705547,0.01952202,0.01665531,0,0,0.02861651,0.02821796,0.01532662,0.02123925,0.01064509,0.01442012,0.01064509,0.01175916,0.01774853,0.006949679,0.03677959,0.004933423,0.003355369,0.002039878,3.643107E-05,0.04779549,0.05240918,0,0.002238993,0,0,0.008216815,0.02001322,1,0
19,0.6370608,True,,0.02027446,0.002208982,0.02759628,0.02693853,0.1455148,0.112634,0,0,0.1679444,0.1564907,0,0,0.1202342,0,0.1190616,5.318296E-12,0.01371599,0.03688648,0,0,0,0,0.01283108,0.01267208,0.02155006,0.02180136,0.0171357,0.05844551,6.416073E-14,1.393208E-13,0.08891644,0.06953523,2.54796E-13,1.511206E-11,0.01660857,0.01397364,0.02023134,0.01420899,0,0,0.02507363,0.02952184,0.01329335,0.02125547,0.01064509,0.01731974,0.01064509,0.01130529,0.019048,0.00827269,0.03891687,0.006724615,0.006192503,0.001106734,2.498688E-05,0.04511549,0.04635994,0,0.00182871,0,0,0.003945391,0.01526319,1,0
20,0.6514761,True,,0.02027446,0.002208982,0.02759628,0.02693853,0.1455148,0.112634,0,0,0.1679444,0.1564907,0,0,0.1202342,0,0.1190616,5.318296E-12,0.01371599,0.03688648,0,0,0,0,0.01283108,0.01267208,0.02155006,0.02180136,0.0171357,0.05844551,6.416073E-14,1.393208E-13,0.08891644,0.06953523,2.54796E-13,1.511206E-11,0.01660857,0.01397364,0.02023134,0.01420899,0,0,0.02507363,0.02952184,0.01329335,0.02125547,0.01064509,0.01731974,0.01064509,0.01130529,0.019048,0.00827269,0.03891687,0.006724615,0.006192503,0.001106734,2.498688E-05,0.04511549,0.04635994,0,0.00182871,0,0,0.003945391,0.01526319,1,0
