fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.1075169,1.386213,1.656351,5.368903,0.2408266
1,-0.05386845,1.483668,1.760539,5.734891,0.4305511
2,0.05904863,2.619168,5.759396,6.154963,0.3620458
3,-1.194792,3.158121,2.069487,7.068548,0.2358465
4,-1.716511,3.291827,2.031965,7.318486,0.2107778
5,-2.134089,3.377626,2.172787,7.533888,0.1663675
6,-2.412506,3.326397,1.985225,7.714563,0.1379704
7,-2.749545,3.360159,2.198564,7.955585,0.09730768
8,-2.552757,1.729195,2.065439,8.504409,0.48598
9,-2.416425,0.5796857,2.083323,9.251517,0.01631641
10,-2.076832,0.4721752,1.988751,9.380106,0.1942863
11,-1.843551,0.5384097,2.005533,9.5142,0.01330757
12,-1.419364,0.5558347,2.123797,9.713331,0.335269
13,-1.080821,0.5567089,2.53176,9.929585,0.04202271
14,-1.126389,0.4221767,3.14724,9.981098,-0.01420212
15,-0.9971772,0.3836743,3.289612,10.02764,0.04168892
16,-0.6867738,0.6277105,2.192268,10.0838,0.01358604
17,-0.662074,0.6365217,2.038989,10.15192,0.07100677
18,-0.4862615,0.6338118,2.05119,10.21713,-0.01434135
19,-0.3303236,0.6264533,2.028735,10.29693,0.1107798
20,-0.1073208,0.6138585,2.003796,10.40157,0.04148197
21,0.009384096,0.6106606,2.006258,10.45302,-0.01364326
22,0.1106059,0.6166895,2.014129,10.50025,0.03853512
23,0.2106652,0.6590558,2.145509,10.58176,0.06945896
24,2.978034,-0.4523937,8.952644,10.83103,0.3725338
25,4.907489,-0.07514312,9.771414,11.12977,0.1674471
26,2.737263,0.6757591,4.868547,11.26399,0.03836727
27,1.931991,0.9114394,2.406696,11.41481,0.217433
28,1.442623,1.189705,1.896335,11.65103,0.2030621
29,1.395386,1.494093,1.874302,11.83162,0.1000614
30,1.359358,1.867324,1.89039,12.10808,0.4079628
31,1.318186,2.546231,1.975532,12.49011,0.3055429
32,1.312368,2.95886,1.978412,12.6798,0.01358414
33,1.025857,3.10952,1.829533,12.94824,0.4722471
34,0.6029481,3.031288,1.818088,13.29639,0.1704903
35,0.3655669,3.038257,1.821735,13.41701,0.01396465
36,0.04755307,3.04118,1.821476,13.45234,-0.0140028
37,-0.3189307,3.051127,1.816027,13.66402,0.3783989
38,-0.6707098,3.028706,1.844054,13.88298,-0.01304436
39,-0.8713378,3.073108,1.813623,13.97684,0.1398468
40,-0.9965565,3.113515,1.910259,14.12986,0.1114759
41,-1.298311,3.075819,1.938218,14.26209,0.09990883
42,-1.743067,3.100427,1.945153,14.47652,0.2810173
43,-2.368326,2.82979,1.997072,15.04568,0.80583
44,-2.461375,1.691192,2.025209,15.58104,0.2108736
45,-2.536592,1.145814,2.134811,15.94621,0.4997234
46,-2.5494,0.16217,3.429266,16.62882,0.77812
47,-1.008729,0.5313265,2.146931,17.0823,0.06562614
48,-0.5301419,0.5564559,2.079957,17.33062,0.3782387
49,-0.09851569,0.5736678,2.008437,17.5611,0.02818489
50,-0.01505382,0.6308241,2.064432,17.64442,0.08344269
51,0.2558872,0.625753,2.030095,17.78274,0.1390324
52,0.5588217,0.6413784,2.11113,17.91441,0.06963158
53,0.6138626,0.5518242,1.89696,18.00015,0.03790474
54,0.712708,0.5941577,1.958746,18.04964,-0.01383781
55,4.046148,-0.4760118,10.01,18.10989,0.06981277
56,3.383108,0.3001425,6.320971,18.3239,0.3052139
57,1.978175,0.9365478,2.79,18.5264,0.04257202
58,2.167472,0.9384379,2.79,18.57984,-0.0182724
59,1.987991,1.038622,2.34657,18.77532,0.3465462
60,1.510149,1.557197,1.936258,18.98061,-0.01410484
61,1.459005,1.950075,2.002784,19.31256,0.611166
62,1.350089,2.525321,1.882104,19.64989,-0.01774406
63,1.333294,2.836554,1.923815,19.8102,0.2817154
64,1.250051,3.218584,1.909532,19.98236,-0.009513855
65,0.9547607,3.213013,1.882093,20.13651,0.2669601
66,0.4675733,3.111834,1.80266,20.44187,0.2923489
67,0.1316141,3.086799,1.776467,20.6647,0.1020737
68,-0.02481118,3.095896,1.773439,20.74524,-0.009914398
69,-0.2329986,3.009584,1.860616,20.77748,0.01356316
70,-0.3094563,1.478507,1.650785,21.02179,0.0313282
71,-0.2622222,1.342945,1.591408,21.08838,0.05531693
72,-0.3331677,1.277009,1.56975,21.14672,-0.01401711
73,-0.3106083,1.417943,1.614073,21.17826,-0.01969147
74,-0.2513144,1.308037,1.58214,21.21605,-0.0137825
75,-0.07931063,1.259528,1.63753,21.26215,0.04175758
76,-0.08320136,1.280785,1.636955,21.31371,-0.01438332
77,-0.1180925,1.323215,1.627614,21.34965,0.01055336
78,-0.1405125,1.404038,1.648033,21.38261,-0.01347542
79,-0.2101694,1.408563,1.624838,21.41066,-0.01381874
80,-0.2946806,1.396136,1.604933,21.49105,0.1112633
81,-3.75,1.907806,2.13395,21.70374,-0.01446724
82,-3.75,1.828056,2.16357,21.77797,0.01829147
83,-9.836597,3.841839,10.01,21.94106,0.06902504
84,-2.631558,2.729344,2.437437,22.12893,0.1666908
85,-2.362394,2.744795,2.247698,22.29641,0.1068172
86,-2.53047,2.818839,2.564435,22.41494,0.06965828
87,-2.576491,3.088201,2.963741,22.59173,-0.01451683
88,0.006758654,1.19182,1.695106,22.78525,-0.01352119
89,-0.119095,1.272431,1.61651,22.81334,-0.01360703
90,-0.1796944,1.363953,1.616961,22.84844,0.01974297
91,-0.2568297,1.364109,1.598041,22.88397,-0.008859634
92,-0.289404,1.388929,1.600651,22.91023,-0.01375389
93,-0.3812406,1.433331,1.626058,23.011,0.1529179
94,-2.901091,3.009465,2.62927,23.38289,-0.01453781
95,-2.653938,2.865646,2.653883,23.40997,-0.01383209
96,-2.544276,2.844897,2.750093,23.49054,0.1109371
97,-2.680523,3.087988,2.805121,23.61843,0.1392403
98,-2.631205,3.103318,2.901816,23.6876,-0.01398087
99,1.444195,2.330154,10.01,23.88318,-0.01289368
100,0.08794646,1.316078,1.824376,23.91109,-0.01442719
101,-0.05894785,1.339294,1.669658,23.94642,0.009994507
102,-0.1814027,1.403783,1.63205,23.97913,-0.01377487
103,-0.267783,1.464873,1.643861,24.01233,0.01467896
104,-0.3617358,1.507913,1.676732,24.12492,0.1670799
105,-2.652694,3.032993,2.753505,24.38597,-0.01895523
106,-2.850272,2.958846,2.606031,24.47966,-0.01445007
107,-2.64873,2.83236,2.65134,24.52653,0.04592514
108,-2.474491,2.795768,2.852485,24.65593,0.1665268
109,-2.497923,2.819476,2.818492,24.80662,0.08791924
110,-0.1375271,1.208222,1.602094,25.04854,-0.01405144
111,-0.0976065,1.1587,1.625083,25.08168,0.01387405
112,-0.04508284,1.086524,1.672025,25.13078,0.03242683
113,-0.03277222,1.152616,1.667094,25.20545,0.06966972
