FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.4818732,True,,0.008918421,0.01793258,0.04041492,0.02708775,0.2745345,0.2351624,0,0,0.1309729,0.1638519,0.005677351,0.01385274,0.3687663,5.546957E-06,0.2934318,0.03282272,0,0,0.04231117,0.01276202,0,0,0.004953021,0.00234208,0.04822691,0.03153316,0.02988109,0.09902612,4.203895E-45,2.522716E-20,0.02795851,0.02200901,0.05723426,0.08740682,0.01521642,0.03643664,0.003742986,0.01418733,7.264279E-11,7.189597E-11,0.0584981,0.04857953,0.02545654,0.03457963,0.03534573,0.03779535,0.03326239,0.0282268,0.01754552,0.01333272,0.06544984,0.03556435,0.02410259,0.004963309,0.01509743,0.1093348,0.1282224,1.866802E-05,1.262817E-05,0,0,0.1722579,0.2728508,1,0
5,0.5167167,True,,0.00701871,0.01333501,0.01868043,0.01667906,0.2825145,0.2445728,0,0,0.1211915,0.1781959,0.008178788,0.0123724,0.4325052,6.053597E-09,0.2890608,0.006113179,0,0,0.0422621,0.01275227,0,0,0.003976983,0.001905046,0.04589522,0.01756403,0.01689294,0.03109729,2.802597E-45,1.777961E-20,0.02342902,0.01452364,0.06180387,0.07584014,0.005813141,0.0184018,0.001706042,0.005097822,5.119717E-11,5.067083E-11,0.08361755,0.0830448,0.02856136,0.03961082,0.03943449,0.03605345,0.03281716,0.02602877,0.01910005,0.02521629,0.05770534,0.02945899,0.02251229,0.00703333,0.01324758,0.1150032,0.1192594,1.543255E-05,1.044025E-05,0,0,0.1875515,0.2677777,1,0
6,0.5341898,True,,0.00701871,0.01333501,0.01868043,0.01667906,0.2825145,0.2445728,0,0,0.1211915,0.1781959,0.008178788,0.0123724,0.4325052,6.053597E-09,0.2890608,0.006113179,0,0,0.0422621,0.01275227,0,0,0.003976983,0.001905046,0.04589522,0.01756403,0.01689294,0.03109729,2.802597E-45,1.777961E-20,0.02342902,0.01452364,0.06180387,0.07584014,0.005813141,0.0184018,0.001706042,0.005097822,5.119717E-11,5.067083E-11,0.08361755,0.0830448,0.02856136,0.03961082,0.03943449,0.03605345,0.03281716,0.02602877,0.01910005,0.02521629,0.05770534,0.02945899,0.02251229,0.00703333,0.01324758,0.1150032,0.1192594,1.543255E-05,1.044025E-05,0,0,0.1875515,0.2677777,1,0
7,0.5452338,True,,0.005570136,0.01155539,0.01307343,0.01864916,0.2457419,0.2110427,0,0,0.2095623,0.2539597,0.004869821,0.00683753,0.3697031,1.130626E-06,0.289834,0.02186851,0,0.005846574,0.02355039,0,0,0,0.004214059,0.001553935,0.03773501,0.02296234,0.02224388,0.03521995,1.401298E-45,1.253073E-20,0.04011557,0.02154168,0.04553885,0.05603519,0.002412089,0.0228477,0.00480598,0.02140904,3.608279E-11,3.571183E-11,0.1189781,0.1197083,0.0254281,0.03108681,0.0665531,0.03957967,0.05525988,0.0291682,0.04329647,0.04629359,0.06329673,0.01110409,0.01025606,0.01508962,0.01221262,0.1164641,0.117577,1.275824E-05,8.631559E-06,0,0,0.146621,0.1756857,1,0
8,0.5601388,True,,0.007260523,0.01609865,0.01760366,0.01972684,0.2373093,0.2123669,0,0,0.1896688,0.2928616,0.002979608,0.003925384,0.1573816,3.87989E-06,0.1810419,0.02974695,0,0.005845823,0.02354982,0,0,0,0.007088227,0.005214926,0.06433681,0.015086,0.1045365,0.06348003,1.401298E-45,8.831306E-21,0.05561624,0.1046118,0.02042757,0.02062458,0.001077586,0.014736,0.002311483,0.00780595,2.543011E-11,2.516867E-11,0.09478854,0.07360943,0.02849604,0.03146357,0.04959082,0.0292443,0.04441617,0.01858496,0.03911786,0.03785142,0.07659976,0.004552099,0.004977065,0.0137234,0.09466433,0.1662096,0.1737419,1.054753E-05,7.13626E-06,0,0,0.1815916,0.2910874,1,0
9,0.5735483,True,,0.02287217,0.03482204,0.01309405,0.01443647,0.3045745,0.2723738,0,0,0.2178761,0.3260951,0.00680005,0.007117182,0.1653336,1.57021E-06,0.1822791,0.02349754,0,0,0.03167697,0.01089941,0,0,0.006766771,0.005226276,0.05425815,0.01239421,0.04793995,0.02332989,1.401298E-45,6.224107E-21,0.08757669,0.08296347,0.03093015,0.03001756,0.0005140002,0.004252999,0.001176444,0.003105767,0.005743503,0.005743503,0.09536052,0.08817009,0.03708503,0.03166307,0.1590994,0.04509499,0.1378168,0.04379865,0.01104133,0.01261815,0.07820335,0.006609216,0.007191405,0.02566405,0.07148211,0.3081311,0.3288988,8.72012E-06,5.900104E-06,0,0,0.4350405,0.4898783,1,0
10,0.5870183,True,,0.02287217,0.03482204,0.01309405,0.01443647,0.3045745,0.2723738,0,0,0.2178761,0.3260951,0.00680005,0.007117182,0.1653336,1.57021E-06,0.1822791,0.02349754,0,0,0.03167697,0.01089941,0,0,0.006766771,0.005226276,0.05425815,0.01239421,0.04793995,0.02332989,1.401298E-45,6.224107E-21,0.08757669,0.08296347,0.03093015,0.03001756,0.0005140002,0.004252999,0.001176444,0.003105767,0.005743503,0.005743503,0.09536052,0.08817009,0.03708503,0.03166307,0.1590994,0.04509499,0.1378168,0.04379865,0.01104133,0.01261815,0.07820335,0.006609216,0.007191405,0.02566405,0.07148211,0.3081311,0.3288988,8.72012E-06,5.900104E-06,0,0,0.4350405,0.4898783,1,0
11,0.6020963,True,,0.02287217,0.03482204,0.01309405,0.01443647,0.3045745,0.2723738,0,0,0.2178761,0.3260951,0.00680005,0.007117182,0.1653336,1.57021E-06,0.1822791,0.02349754,0,0,0.03167697,0.01089941,0,0,0.006766771,0.005226276,0.05425815,0.01239421,0.04793995,0.02332989,1.401298E-45,6.224107E-21,0.08757669,0.08296347,0.03093015,0.03001756,0.0005140002,0.004252999,0.001176444,0.003105767,0.005743503,0.005743503,0.09536052,0.08817009,0.03708503,0.03166307,0.1590994,0.04509499,0.1378168,0.04379865,0.01104133,0.01261815,0.07820335,0.006609216,0.007191405,0.02566405,0.07148211,0.3081311,0.3288988,8.72012E-06,5.900104E-06,0,0,0.4350405,0.4898783,1,0
12,0.6181895,True,,0.01726334,0.0311391,0.01158878,0.01234811,0.292011,0.2399076,0,0,0.1252279,0.2828031,0.008615054,0.008707308,0.07591524,3.85195E-06,0.1037144,0.02849549,0,0,0.03164015,0.01088249,0,0,0.006503547,0.007835608,0.05379774,0.03160924,0.03071212,0.02799485,1.401298E-45,4.386616E-21,0.05005213,0.02801402,0.09453004,0.1035264,0.0002597107,0.007933892,0.0006290254,0.005845902,0.003707245,0.003707245,0.04408462,0.03354222,0.06641984,0.05569015,0.1787564,0.03986733,0.1476222,0.05035496,0.01080868,0.01592891,0.09213684,0.007943663,0.0153048,0.04658831,0.05733106,0.1797148,0.1754056,7.209442E-06,4.878129E-06,0,0,0.3773145,0.4313539,1,0
13,0.6302977,True,,0.01726334,0.0311391,0.01158878,0.01234811,0.292011,0.2399076,0,0,0.1252279,0.2828031,0.008615054,0.008707308,0.07591524,3.85195E-06,0.1037144,0.02849549,0,0,0.03164015,0.01088249,0,0,0.006503547,0.007835608,0.05379774,0.03160924,0.03071212,0.02799485,1.401298E-45,4.386616E-21,0.05005213,0.02801402,0.09453004,0.1035264,0.0002597107,0.007933892,0.0006290254,0.005845902,0.003707245,0.003707245,0.04408462,0.03354222,0.06641984,0.05569015,0.1787564,0.03986733,0.1476222,0.05035496,0.01080868,0.01592891,0.09213684,0.007943663,0.0153048,0.04658831,0.05733106,0.1797148,0.1754056,7.209442E-06,4.878129E-06,0,0,0.3773145,0.4313539,1,0
14,0.6445044,True,,0.01322961,0.02830752,0.01103971,0.004348989,0.3045468,0.2371075,0,0,0.1007884,0.2102648,0.009524623,0.009538431,0.006972477,1.739711E-06,0.03033363,0.02336609,0,0.001548432,0.01921077,0,0,0,0.008745243,0.009747083,0.06812804,0.1478207,0.02493594,0.02368108,1.401298E-45,3.091603E-21,0.04625702,0.01535427,0.1134777,0.1239002,0.0001379899,0.009409966,0.0003510013,0.007538049,0.002428305,0.002428305,0.01615604,0.0147992,0.07252576,0.06153398,0.1624335,0.03683931,0.1314778,0.05225603,0.003601366,0.005770565,0.09627855,0.008820996,0.01387998,0.08844964,0.03880812,0.1084178,0.1064018,5.960571E-06,4.033216E-06,0,0,0.3447674,0.3689981,1,0
15,0.6606814,True,,0.01322961,0.02830752,0.01103971,0.004348989,0.3045468,0.2371075,0,0,0.1007884,0.2102648,0.009524623,0.009538431,0.006972477,1.739711E-06,0.03033363,0.02336609,0,0.001548432,0.01921077,0,0,0,0.008745243,0.009747083,0.06812804,0.1478207,0.02493594,0.02368108,1.401298E-45,3.091603E-21,0.04625702,0.01535427,0.1134777,0.1239002,0.0001379899,0.009409966,0.0003510013,0.007538049,0.002428305,0.002428305,0.01615604,0.0147992,0.07252576,0.06153398,0.1624335,0.03683931,0.1314778,0.05225603,0.003601366,0.005770565,0.09627855,0.008820996,0.01387998,0.08844964,0.03880812,0.1084178,0.1064018,5.960571E-06,4.033216E-06,0,0,0.3447674,0.3689981,1,0
16,0.6744024,True,,0.01322961,0.02830752,0.01103971,0.004348989,0.3045468,0.2371075,0,0,0.1007884,0.2102648,0.009524623,0.009538431,0.006972477,1.739711E-06,0.03033363,0.02336609,0,0.001548432,0.01921077,0,0,0,0.008745243,0.009747083,0.06812804,0.1478207,0.02493594,0.02368108,1.401298E-45,3.091603E-21,0.04625702,0.01535427,0.1134777,0.1239002,0.0001379899,0.009409966,0.0003510013,0.007538049,0.002428305,0.002428305,0.01615604,0.0147992,0.07252576,0.06153398,0.1624335,0.03683931,0.1314778,0.05225603,0.003601366,0.005770565,0.09627855,0.008820996,0.01387998,0.08844964,0.03880812,0.1084178,0.1064018,5.960571E-06,4.033216E-06,0,0,0.3447674,0.3689981,1,0
17,0.6852208,True,,0.01026849,0.0204139,0.01082261,0.001676991,0.27163,0.2009382,0,0,0.07847603,0.2045221,0.01000252,0.009991616,0.02039615,6.053597E-09,0.02623268,0.005839174,0,0.001549857,0.0192157,0,0,0,0.006876114,0.008902394,0.09906137,0.1583845,0.02282039,0.02222255,1.401298E-45,2.178904E-21,0.02856545,0.01207415,0.1164262,0.1270374,7.658102E-05,0.003344541,0.0002031893,0.0086048,0.001610269,0.001610269,0.01169225,0.01150997,0.07396438,0.05670534,0.1437756,0.02794667,0.1144236,0.04756501,0.001320513,0.002282603,0.09763724,0.009404393,0.01289668,0.09453263,0.0302885,0.05952729,0.05884159,4.928097E-06,3.334668E-06,0,0,0.3235249,0.3457363,1,0
18,0.7029579,True,,0.01026849,0.0204139,0.01082261,0.001676991,0.27163,0.2009382,0,0,0.07847603,0.2045221,0.01000252,0.009991616,0.02039615,6.053597E-09,0.02623268,0.005839174,0,0.001549857,0.0192157,0,0,0,0.006876114,0.008902394,0.09906137,0.1583845,0.02282039,0.02222255,1.401298E-45,2.178904E-21,0.02856545,0.01207415,0.1164262,0.1270374,7.658102E-05,0.003344541,0.0002031893,0.0086048,0.001610269,0.001610269,0.01169225,0.01150997,0.07396438,0.05670534,0.1437756,0.02794667,0.1144236,0.04756501,0.001320513,0.002282603,0.09763724,0.009404393,0.01289668,0.09453263,0.0302885,0.05952729,0.05884159,4.928097E-06,3.334668E-06,0,0,0.3235249,0.3457363,1,0
