fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.04044024,0.824832,1.37325,8.168974,0.144042
1,-0.0168561,0.824832,1.291674,8.354214,0.1670752
2,-0.221875,1.157275,2.136811,8.49668,0.05711842
3,-0.2108908,1.358309,2.132627,8.707683,0.319418
4,0.4351273,1.444375,2.13354,8.933903,0.0413847
5,0.5763464,1.463031,2.133059,9.22925,0.5016956
6,0.2306379,1.083472,2.133062,9.527247,0.02619553
7,0.009522569,0.8248323,1.635406,9.737837,0.3490362
8,0.4444644,0.824832,1.737168,9.95937,0.03201103
9,0.9292035,0.8676273,2.033344,10.14215,0.2925167
10,0.8796388,1.164981,2.133062,10.32831,0.01393223
11,0.8625574,1.422362,2.130657,10.56639,0.4170866
12,1.581122,1.423155,1.471775,11.04669,0.4874325
13,1.560874,1.424774,0.4972972,11.49957,0.3319368
14,1.562387,1.398237,0.8432482,11.72479,0.05617619
15,1.566169,1.287183,1.471583,11.80592,0.01408291
16,1.490541,1.180286,2.209434,11.8415,-0.01386833
17,0.4999068,1.305106,2.132776,11.8793,0.02803135
18,0.05255916,1.354053,2.147609,11.9248,-0.01360321
19,-0.2763022,1.491857,2.13306,11.97001,0.04009724
20,-0.1515424,1.468449,2.13306,12.03846,0.04162788
21,0.01518942,1.447941,2.130317,12.17574,0.1819239
22,-0.2194175,0.8248323,1.593037,12.48057,0.3479195
23,-0.7510788,0.8518031,2.017882,12.6948,0.01385307
24,-1.158096,0.9162028,2.132065,12.79497,0.1398735
25,-1.655605,0.8670101,2.004914,12.96196,0.14112
26,-2.269963,0.8500094,2.022317,13.15604,0.1956406
27,-2.020569,1.051244,2.133063,13.29335,0.01393318
28,-1.730869,1.606007,2.133123,13.51758,0.3874826
29,-1.224979,1.142876,2.19229,13.83158,0.1823263
30,-1.570647,0.9712659,2.13089,14.04743,0.1937914
31,-1.592521,1.228729,2.133061,14.18454,0.01388264
32,-1.616363,1.484281,2.130111,14.93715,1.448229
33,-0.4451536,0.8248321,1.267523,17.36128,0.2776489
34,-0.4227615,0.824832,1.436245,17.54625,0.02825546
35,-0.08295161,1.359386,2.136007,17.75103,0.3075676
36,0.5549671,1.383608,2.133024,18.11307,0.3606873
37,0.09806401,1.418606,2.128141,18.34034,0.02711868
38,-0.4527156,1.425138,2.162414,18.38856,-0.01625252
39,-1.041188,1.407619,2.261306,18.577,0.02760315
40,-1.740716,1.395708,2.131484,18.71276,0.1952763
41,-2.367974,1.095079,2.197471,18.84673,-0.01539612
42,-2.517504,0.975111,2.158532,18.99725,0.264164
43,-1.500149,0.9750015,2.133415,19.17616,0.02669334
44,-1.154813,0.9452667,2.240182,19.40043,0.3763523
45,-1.562322,0.9204786,2.088445,19.67378,0.1097431
46,-1.314821,0.9077331,2.112095,19.77539,0.02429581
47,-0.9113877,0.8506888,2.018505,19.81928,-0.01452255
48,-0.738975,0.824832,1.906824,19.93737,0.1953354
49,-0.8953923,0.824832,1.91567,20.07614,0.01234818
50,-1.189044,0.8248324,1.850779,20.319,0.4318542
51,-1.500456,1.061057,2.133063,20.58119,0.02826118
52,-1.50389,1.252555,2.133061,20.75142,0.2647877
53,-1.214096,1.179905,2.361049,21.22427,0.6267757
54,-1.32592,1.427326,2.165201,21.63639,0.1400089
55,-1.481009,1.469471,2.1295,21.8516,0.2361202
56,-1.053026,1.463002,2.257246,22.06787,0.1395397
57,-1.208309,1.473617,2.181801,22.61419,0.0280571
58,-1.540744,1.508349,2.129147,23.31241,1.322699
