FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
556,8.095254,-0.02935749,0.824832,1.562943,-1,0,Stone floorVA
557,8.110839,-0.03114533,0.824832,1.535459,0,0,Stone floorVA
558,8.119116,-0.01698238,0.824832,1.525639,0,0,Stone floorVA
559,8.131783,-0.02382529,0.824832,1.468486,0,0,Stone floorVA
560,8.146185,-0.03154695,0.824832,1.423868,0,0,Stone floorVA
561,8.159185,-0.03154695,0.824832,1.423868,0,0,Stone floorVA
562,8.171402,-0.03532237,0.824832,1.403107,0,0,Stone floorVA
563,8.1862,-0.04356843,0.824832,1.28236,0,0,Stone floorVA
564,8.199601,-0.04794383,0.824832,1.249307,0,0,Stone floorVA
565,8.212855,-0.05436563,0.824832,1.241771,0,0,Stone floorVA
566,8.226786,-0.05884877,0.824832,1.215414,0,0,Stone floorVA
567,8.240699,-0.06322026,0.824832,1.189745,0,0,Stone floorVA
568,8.254881,-0.0673444,0.824832,1.168079,0,0,Stone floorVA
569,8.268171,-0.002871603,0.824832,1.227892,0,0,Stone floorVA
570,8.284553,0.00148645,0.824832,1.258612,1,0,Stone floorVA
571,8.297794,0.0003417134,0.824832,1.258261,1,0,Stone floorVA
572,8.309446,-0.0007972121,0.824832,1.257924,1,0,Stone floorVA
573,8.32422,0.003410041,0.824832,1.296479,1,0,Stone floorVA
574,8.33813,0.001725137,0.824832,1.303687,1,0,Stone floorVA
575,8.351073,-0.004766405,0.824832,1.310787,1,0,Stone floorVA
576,8.365773,-0.01145539,0.824832,1.308892,1,0,Stone floorVA
577,8.379342,-0.01377246,0.824832,1.314452,1,0,Stone floorVA
578,8.392717,-0.01352355,0.824832,1.320822,1,0,Stone floorVA
579,8.407506,-0.02832705,0.824832,1.287502,1,0,Stone floorVA
580,8.421359,-0.05883962,0.824832,1.337348,1,0,Stone floorVA
581,8.43694,-0.06141037,0.824832,1.319755,1,0,Stone floorVA
582,8.451628,-0.06552762,0.824832,1.314087,1,0,Stone floorVA
583,8.471903,-0.2263101,1.141648,2.135212,1,0,Wall 3VA (5)
584,8.476649,-0.2198201,1.155101,2.141589,2,0,Wall 3VA (5)
585,8.49211,-0.2229794,1.154691,2.14197,2,0,Wall 3VA (5)
586,8.505918,-0.2196619,1.163351,2.133488,2,0,Wall 3VA (5)
587,8.519764,-0.2213725,1.164878,2.13211,2,0,Wall 3VA (5)
588,8.533768,-0.223161,1.166157,2.13172,2,0,Wall 3VA (5)
589,8.548272,-0.2221702,1.353066,2.13306,2,0,Wall 3VA (5)
590,8.560884,-0.2235605,1.3873,2.13306,3,0,Wall 3VA (5)
591,8.574758,-0.2241867,1.387515,2.13306,3,0,Wall 3VA (5)
592,8.590162,-0.2255719,1.387453,2.13306,3,0,Wall 3VA (5)
593,8.603771,-0.2267987,1.387481,2.13306,3,0,Wall 3VA (5)
594,8.616386,-0.2198588,1.396217,2.13306,3,0,Wall 3VA (5)
595,8.62968,-0.2212502,1.392166,2.13306,3,0,Wall 3VA (5)
596,8.643599,-0.2210058,1.374378,2.13306,3,0,Wall 3VA (5)
597,8.657531,-0.2211962,1.373381,2.13306,3,0,Wall 3VA (5)
598,8.670812,-0.2219594,1.372593,2.13306,3,0,Wall 3VA (5)
599,8.685076,-0.2227277,1.3718,2.13306,3,0,Wall 3VA (5)
600,8.699666,-0.220805,1.365948,2.13306,3,0,Wall 3VA (5)
601,8.712819,-0.2036331,1.393949,2.13306,3,0,Wall 3VA (5)
602,8.727035,-0.2027137,1.392339,2.13306,3,0,Wall 3VA (5)
603,8.742856,-0.2026455,1.390559,2.13306,3,0,Wall 3VA (5)
604,8.756332,-0.2025495,1.388769,2.13306,3,0,Wall 3VA (5)
605,8.768619,-0.1977409,1.389676,2.13306,3,0,Wall 3VA (5)
606,8.783262,-0.2023708,1.313184,2.131965,3,0,Wall 3VA (5)
607,8.796234,-0.2004943,1.311098,2.131901,3,0,Wall 3VA (5)
608,8.810165,-0.1988646,1.309121,2.13184,3,0,Wall 3VA (5)
609,8.824442,-0.2054516,1.298434,2.131513,3,0,Wall 3VA (5)
610,8.838258,-0.1994958,1.298496,2.131515,3,0,Wall 3VA (5)
611,8.851973,-0.1970154,1.296956,2.131468,3,0,Wall 3VA (5)
