FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.4299175,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
5,0.4505364,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,0.4650559,True,,7.436551E-05,0.0001917102,2.009877E-10,2.099335E-10,0.1233202,0.1061976,0,0,0.03826159,0.05462845,0,0,2.958822E-11,0,1.939092E-10,1.643209E-10,0.02609956,0.04914664,0,0,0,0,0.005539245,0.0007560181,0.02266161,0.006530329,0.01238992,2.225015E-06,1.975693E-11,1.712416E-10,0.01068914,0.01059903,0.03248916,0.04147436,0.000729028,0.000729023,0.0007290277,0.0006666096,0,0,0.01062155,0.007115221,0.004517309,0.003575713,0.01246448,0.02141456,0.02191794,0.009003337,1.651796E-10,1.617275E-10,0.03857832,2.38718E-10,2.917015E-10,0.002454582,0.007409238,0.01627094,0.01112224,0,2.950832E-05,0,0,0.03546831,0.04901404,1,0
7,0.4949741,True,,6.142055E-05,0.0001579834,1.416527E-10,1.479575E-10,0.1256889,0.1021879,0,0,0.03983999,0.04611029,0,0,2.085324E-11,0,1.366639E-10,1.158106E-10,0.01368463,0.04267465,0,0,0,0,0.005493978,0.0006220657,0.02634698,0.008511208,0.01169759,0.005739026,1.392435E-11,1.206882E-10,0.01067558,0.01061344,0.02707959,0.03710498,0.0004961882,0.0004961846,0.0004961881,0.0004227198,0,0,0.01062865,0.003512795,0.002436322,0.002045003,0.01174704,0.02137114,0.01588019,0.009569578,1.164157E-10,1.139828E-10,0.0366469,1.682442E-10,2.05586E-10,0.001578316,0.00318041,0.01396985,0.01096512,0,2.439387E-05,0,0,0.02684886,0.03776146,1,0
8,0.5074472,True,,6.142055E-05,0.0001579834,1.416527E-10,1.479575E-10,0.1256889,0.1021879,0,0,0.03983999,0.04611029,0,0,2.085324E-11,0,1.366639E-10,1.158106E-10,0.01368463,0.04267465,0,0,0,0,0.005493978,0.0006220657,0.02634698,0.008511208,0.01169759,0.005739026,1.392435E-11,1.206882E-10,0.01067558,0.01061344,0.02707959,0.03710498,0.0004961882,0.0004961846,0.0004961881,0.0004227198,0,0,0.01062865,0.003512795,0.002436322,0.002045003,0.01174704,0.02137114,0.01588019,0.009569578,1.164157E-10,1.139828E-10,0.0366469,1.682442E-10,2.05586E-10,0.001578316,0.00318041,0.01396985,0.01096512,0,2.439387E-05,0,0,0.02684886,0.03776146,1,0
9,0.522584,True,,6.142055E-05,0.0001579834,1.416527E-10,1.479575E-10,0.1256889,0.1021879,0,0,0.03983999,0.04611029,0,0,2.085324E-11,0,1.366639E-10,1.158106E-10,0.01368463,0.04267465,0,0,0,0,0.005493978,0.0006220657,0.02634698,0.008511208,0.01169759,0.005739026,1.392435E-11,1.206882E-10,0.01067558,0.01061344,0.02707959,0.03710498,0.0004961882,0.0004961846,0.0004961881,0.0004227198,0,0,0.01062865,0.003512795,0.002436322,0.002045003,0.01174704,0.02137114,0.01588019,0.009569578,1.164157E-10,1.139828E-10,0.0366469,1.682442E-10,2.05586E-10,0.001578316,0.00318041,0.01396985,0.01096512,0,2.439387E-05,0,0,0.02684886,0.03776146,1,0
10,0.5364287,True,,6.142055E-05,0.0001579834,1.416527E-10,1.479575E-10,0.1256889,0.1021879,0,0,0.03983999,0.04611029,0,0,2.085324E-11,0,1.366639E-10,1.158106E-10,0.01368463,0.04267465,0,0,0,0,0.005493978,0.0006220657,0.02634698,0.008511208,0.01169759,0.005739026,1.392435E-11,1.206882E-10,0.01067558,0.01061344,0.02707959,0.03710498,0.0004961882,0.0004961846,0.0004961881,0.0004227198,0,0,0.01062865,0.003512795,0.002436322,0.002045003,0.01174704,0.02137114,0.01588019,0.009569578,1.164157E-10,1.139828E-10,0.0366469,1.682442E-10,2.05586E-10,0.001578316,0.00318041,0.01396985,0.01096512,0,2.439387E-05,0,0,0.02684886,0.03776146,1,0
11,0.5499722,True,,6.142055E-05,0.0001579834,1.416527E-10,1.479575E-10,0.1256889,0.1021879,0,0,0.03983999,0.04611029,0,0,2.085324E-11,0,1.366639E-10,1.158106E-10,0.01368463,0.04267465,0,0,0,0,0.005493978,0.0006220657,0.02634698,0.008511208,0.01169759,0.005739026,1.392435E-11,1.206882E-10,0.01067558,0.01061344,0.02707959,0.03710498,0.0004961882,0.0004961846,0.0004961881,0.0004227198,0,0,0.01062865,0.003512795,0.002436322,0.002045003,0.01174704,0.02137114,0.01588019,0.009569578,1.164157E-10,1.139828E-10,0.0366469,1.682442E-10,2.05586E-10,0.001578316,0.00318041,0.01396985,0.01096512,0,2.439387E-05,0,0,0.02684886,0.03776146,1,0
12,0.5650164,True,,4.192031E-05,0.0001074601,7.036001E-11,7.349167E-11,0.106003,0.08776336,0,0,0.04142112,0.05290913,0,0,1.035795E-11,0,6.788207E-11,5.752412E-11,0.007519214,0.04284782,0,0,0,0,0.004355416,0.0004221542,0.02975376,0.005201779,0.01105661,0.02504238,6.916347E-12,5.994683E-11,0.01065983,0.007031632,0.02306153,0.03364163,0.000233757,0.000233755,0.0002337569,0.0001786507,0,0,0.01063704,0.005627556,0.005696049,0.005797162,0.01107869,0.02687091,0.01199008,0.01363633,5.782464E-11,5.661618E-11,0.04231217,8.356819E-11,1.021161E-10,0.0006815089,0.0007172466,0.01190397,0.01637684,0,1.667197E-05,0,0,0.02618121,0.04120679,1,0
13,0.5796037,True,,4.192031E-05,0.0001074601,7.036001E-11,7.349167E-11,0.106003,0.08776336,0,0,0.04142112,0.05290913,0,0,1.035795E-11,0,6.788207E-11,5.752412E-11,0.007519214,0.04284782,0,0,0,0,0.004355416,0.0004221542,0.02975376,0.005201779,0.01105661,0.02504238,6.916347E-12,5.994683E-11,0.01065983,0.007031632,0.02306153,0.03364163,0.000233757,0.000233755,0.0002337569,0.0001786507,0,0,0.01063704,0.005627556,0.005696049,0.005797162,0.01107869,0.02687091,0.01199008,0.01363633,5.782464E-11,5.661618E-11,0.04231217,8.356819E-11,1.021161E-10,0.0006815089,0.0007172466,0.01190397,0.01637684,0,1.667197E-05,0,0,0.02618121,0.04120679,1,0
14,0.5930436,True,,3.46394E-05,8.86831E-05,0.005743514,5.179518E-11,0.1062182,0.09821493,0,0,0.06529383,0.08424342,0,0,7.300032E-12,0,4.784168E-11,4.054165E-11,0,0.0367057,0.004900872,0,0,0,0.003497449,0.001390852,0.04555661,0.007682309,0.01626563,0.02970319,4.87448E-12,4.224911E-11,0.01065537,0.008309956,0.02232588,0.03296328,0.00578745,0.005787448,0.00578745,0.005618979,0,0,0.01063945,0.007690948,0.00788849,0.008031731,0.01092481,0.02937097,0.01137844,0.01762518,4.075344E-11,3.990174E-11,0.04837683,5.889685E-11,7.196901E-11,0.0004555713,0.0003709151,0.01144522,0.01883432,0,1.378338E-05,0,0,0.04392361,0.06453473,1,0
15,0.6226234,True,,3.46394E-05,8.86831E-05,0.005743514,5.179518E-11,0.1062182,0.09821493,0,0,0.06529383,0.08424342,0,0,7.300032E-12,0,4.784168E-11,4.054165E-11,0,0.0367057,0.004900872,0,0,0,0.003497449,0.001390852,0.04555661,0.007682309,0.01626563,0.02970319,4.87448E-12,4.224911E-11,0.01065537,0.008309956,0.02232588,0.03296328,0.00578745,0.005787448,0.00578745,0.005618979,0,0,0.01063945,0.007690948,0.00788849,0.008031731,0.01092481,0.02937097,0.01137844,0.01762518,4.075344E-11,3.990174E-11,0.04837683,5.889685E-11,7.196901E-11,0.0004555713,0.0003709151,0.01144522,0.01883432,0,1.378338E-05,0,0,0.04392361,0.06453473,1,0
16,0.6368926,True,,3.46394E-05,8.86831E-05,0.005743514,5.179518E-11,0.1062182,0.09821493,0,0,0.06529383,0.08424342,0,0,7.300032E-12,0,4.784168E-11,4.054165E-11,0,0.0367057,0.004900872,0,0,0,0.003497449,0.001390852,0.04555661,0.007682309,0.01626563,0.02970319,4.87448E-12,4.224911E-11,0.01065537,0.008309956,0.02232588,0.03296328,0.00578745,0.005787448,0.00578745,0.005618979,0,0,0.01063945,0.007690948,0.00788849,0.008031731,0.01092481,0.02937097,0.01137844,0.01762518,4.075344E-11,3.990174E-11,0.04837683,5.889685E-11,7.196901E-11,0.0004555713,0.0003709151,0.01144522,0.01883432,0,1.378338E-05,0,0,0.04392361,0.06453473,1,0
17,0.6490449,True,,2.862629E-05,7.321143E-05,0.008243958,0.005743438,0.09982599,0.09744596,0,0,0.09892882,0.09231602,0,0,5.144937E-12,0,3.371801E-11,2.857307E-11,0,0.0367057,0.004912568,0,0,0,0.002822588,0.002149056,0.0504632,0.008966235,0.01868638,0.04776115,3.435452E-12,2.977646E-11,0.01065227,0.009114009,0.02191417,0.0262135,0.008237713,0.008237711,0.008237713,0.008090497,0,0,0.01639998,0.008854743,0.009051799,0.004434698,0.01082822,0.04617698,0.01106126,0.03540546,2.872233E-11,2.812207E-11,0.0544519,4.150949E-11,5.072252E-11,0.0003072818,0.000201088,0.02460928,0.02699663,0,0.001968647,0,0,0.04971478,0.06416547,1,0
18,0.6632138,True,,2.365897E-05,6.045498E-05,0.01643391,0.008243958,0.1174371,0.1102809,0,0,0.08423754,0.08654745,0,0,3.62603E-12,0,2.376368E-11,2.013765E-11,0,0.03665947,0.004905813,0,0,0,0.002287414,0.002747804,0.05980051,0.01627589,0.02682803,0.06033618,2.421228E-12,2.098577E-11,0.01065012,0.009628952,0.015398,0.01590644,0.009387397,0.01639612,0.009387397,0.009280824,0,0,0.0189007,0.009533091,0.00472825,0.002543986,0.01076648,0.05921058,0.01587217,0.05771904,2.024284E-11,1.981979E-11,0.0584923,2.925492E-11,3.574805E-11,0.0002088128,0.0001135545,0.01846717,0.01923119,0,0.006632247,0,0,0.04125841,0.06060343,1,0
19,0.6771421,True,,2.365897E-05,6.045498E-05,0.01643391,0.008243958,0.1174371,0.1102809,0,0,0.08423754,0.08654745,0,0,3.62603E-12,0,2.376368E-11,2.013765E-11,0,0.03665947,0.004905813,0,0,0,0.002287414,0.002747804,0.05980051,0.01627589,0.02682803,0.06033618,2.421228E-12,2.098577E-11,0.01065012,0.009628952,0.015398,0.01590644,0.009387397,0.01639612,0.009387397,0.009280824,0,0,0.0189007,0.009533091,0.00472825,0.002543986,0.01076648,0.05921058,0.01587217,0.05771904,2.024284E-11,1.981979E-11,0.0584923,2.925492E-11,3.574805E-11,0.0002088128,0.0001135545,0.01846717,0.01923119,0,0.006632247,0,0,0.04125841,0.06060343,1,0
