ObjectName, first found frame Count, firstFoundTime, Cumulative Gaze Duration, numberOfGazes, number of gaze points, mean gaze duration
Sphere,304,4.605563,5.636583,1,814,5.636583
Cube,-1,-1,0,0,0,0
