fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.2984089,1.15747,1.56737,5.115068,1.00569
1,-0.2320762,1.102524,1.59489,6.806497,2.310007
2,-0.2974195,1.0389,1.594343,8.018885,0.0558629
3,-0.4312528,1.079381,1.591001,8.379951,0.6131144
4,-0.4352887,1.074667,1.593141,8.965107,0.4989967
5,-0.4202224,1.218964,1.57258,9.744632,1.006381
