fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.5096488,1.039067,1.626873,17.76118,7.612798
1,-0.3593612,0.9545288,2.20387,24.30952,4.669277
2,-3.289985,2.427601,7.519312,27.05558,0.511549
3,-6.235798,3.091846,10.01,27.50735,0.3348541
4,-3.899525,3.295715,10.01,27.74989,-0.02873611
5,-0.06935167,1.412519,1.699405,27.89968,0.05134773
6,0.4818407,2.496426,6.64296,28.1446,0.380724
7,-4.117929,3.344595,10.01,28.50124,0.02651405
8,-6.121959,2.925489,10.01,28.75837,0.4604435
9,-4.535326,1.121867,4.486639,29.18229,0.3618698
10,-9.587554,0.4091231,10.01,29.61271,0.2281513
11,-3.523018,1.441327,8.179003,29.86991,0.0457058
12,-0.4353362,1.119383,1.582183,29.95073,-0.01298141
13,-0.3579822,1.120435,1.571586,29.97806,-0.01448059
14,-0.1905233,1.110791,1.595708,30.25446,0.5063896
15,3.653237,1.513812,10.01,30.66049,-0.02798462
16,1.712961,1.035786,2.970401,30.92743,0.4181633
17,2.036977,1.188469,10.01,31.27374,-0.02609634
18,0.123451,1.075155,2.399668,31.52903,0.4309845
19,2.735673,0.09680294,10.01,31.87118,0.02724075
20,1.216362,0.5985257,2.102105,32.02402,0.02759552
21,1.402149,0.5829137,1.995675,32.22939,0.292347
22,-0.1478779,1.116657,1.609629,32.79045,0.3340836
23,2.831599,3.115628,10.01,33.09689,0.02787781
24,1.302765,1.899031,2.392044,33.31753,0.02790833
25,0.821115,2.358312,7.288187,33.72088,0.05014801
26,0.1135912,1.333615,2.313037,33.9326,0.3205719
27,2.486235,1.723652,10.01,34.18438,-0.02837372
28,5.396728,0.307836,10.01,34.3228,0.02726364
29,6.937171,-0.9663373,9.011206,34.60344,0.4198456
30,3.304414,0.1883652,10.01,34.95048,-0.02807236
31,1.008988,0.4488107,10.01,35.19903,0.3940468
32,5.881899,-0.2203701,10.01,35.56219,-0.02773285
33,6.013805,-0.9555005,8.076336,35.88832,0.5658684
34,3.38417,1.352887,10.01,36.31505,0.02521515
35,1.496532,2.07977,10.01,36.42033,-0.02555466
36,0.06612707,1.180364,1.770579,36.46712,0.02635193
37,-0.1139691,1.116783,1.625641,36.72871,0.3930016
38,2.075011,1.516873,4.329199,37.08045,0.02549362
39,1.750618,1.232602,2.913984,37.32814,0.396225
40,-0.04472379,1.108656,1.665194,37.72128,-0.02647018
41,-0.03603007,1.109778,1.680074,38.63305,1.724934
42,-0.237725,1.092668,1.585802,39.55796,-0.03162766
43,-0.5900669,1.015896,1.680413,39.65138,-0.02655411
44,-3.146237,0.5650973,7.698898,39.82016,0.2641335
45,-0.8341872,0.5552469,2.056583,40.03307,0.09502029
46,-0.6841187,0.4322911,1.880554,40.12451,-0.0256691
47,-0.3807675,0.3959581,1.866274,40.36724,0.4029465
48,-0.1949284,0.5425689,1.910296,40.61141,-0.0259819
49,-0.1712567,0.6320366,2.068556,40.65339,-0.02618027
50,-0.1335942,0.8664892,1.756503,40.70197,-0.02603531
51,-0.1248789,1.181396,1.613289,41.04436,0.587883
52,1.788893,2.578548,10.01,41.41913,-0.02612686
53,2.81367,2.565377,10.01,41.4611,-0.02654266
54,3.953156,2.350009,9.850367,41.67814,0.3560219
55,3.045404,1.737777,10.01,41.90873,0.02514267
56,0.964797,0.5715191,10.01,42.01095,-0.0258522
57,-0.07686742,0.8635029,1.798291,42.07417,-0.02565384
58,-0.7718815,0.5229034,3.310143,42.79075,1.36795
59,-0.260229,1.372091,1.609417,44.49748,1.904606
