ObjectName, first found frame Count, firstFoundTime, Cumulative Gaze Duration, numberOfGazes, number of gaze points, mean gaze duration
Sphere,2270,14.36374,20.68365,14,3285,1.477403
Cube,3713,30.69438,0.9950886,5,116,0.2487721
