FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
2270,14.36374,-0.503979,1.039329,1.624385,-1,0,Sphere
2270,14.36374,-0.5153363,1.038832,1.629409,-1,0,Sphere
2271,14.37715,-0.503979,1.039329,1.624385,0,0,Sphere
2271,14.37715,-0.5153363,1.038832,1.629409,-1,0,Sphere
2272,14.38598,-0.503979,1.039329,1.624385,0,0,Sphere
2272,14.38598,-0.5153363,1.038832,1.629409,0,0,Sphere
2273,14.39274,-0.503979,1.039329,1.624385,0,0,Sphere
2273,14.39274,-0.5153363,1.038832,1.629409,0,0,Sphere
2274,14.39797,-0.503979,1.039329,1.624385,0,0,Sphere
2274,14.39797,-0.5153363,1.038832,1.629409,0,0,Sphere
2275,14.40352,-0.503979,1.039329,1.624385,0,0,Sphere
2275,14.40352,-0.5153363,1.038832,1.629409,0,0,Sphere
2276,14.40918,-0.503979,1.039329,1.624385,0,0,Sphere
2276,14.40918,-0.5153363,1.038832,1.629409,0,0,Sphere
2277,14.41467,-0.503979,1.039329,1.624385,0,0,Sphere
2277,14.41467,-0.5153363,1.038832,1.629409,0,0,Sphere
2278,14.42042,-0.503979,1.039329,1.624385,0,0,Sphere
2278,14.42042,-0.5153363,1.038832,1.629409,0,0,Sphere
2279,14.42628,-0.503979,1.039329,1.624385,0,0,Sphere
2279,14.42628,-0.5153363,1.038832,1.629409,0,0,Sphere
2280,14.43191,-0.503979,1.039329,1.624385,0,0,Sphere
2280,14.43191,-0.5153363,1.038832,1.629409,0,0,Sphere
2281,14.43742,-0.503979,1.039329,1.624385,0,0,Sphere
2281,14.43742,-0.5153363,1.038832,1.629409,0,0,Sphere
2282,14.44275,-0.503979,1.039329,1.624385,0,0,Sphere
2282,14.44275,-0.5153363,1.038832,1.629409,0,0,Sphere
2283,14.45087,-0.503979,1.039329,1.624385,0,0,Sphere
2283,14.45087,-0.5153363,1.038832,1.629409,0,0,Sphere
2284,14.45723,-0.503979,1.039329,1.624385,0,0,Sphere
2284,14.45723,-0.5153363,1.038832,1.629409,0,0,Sphere
2285,14.46269,-0.503979,1.039329,1.624385,0,0,Sphere
2285,14.46269,-0.5153363,1.038832,1.629409,0,0,Sphere
2286,14.46838,-0.503979,1.039329,1.624385,0,0,Sphere
2286,14.46838,-0.5153363,1.038832,1.629409,0,0,Sphere
2287,14.47423,-0.503979,1.039329,1.624385,0,0,Sphere
2287,14.47423,-0.5153363,1.038832,1.629409,0,0,Sphere
2288,14.47977,-0.503979,1.039329,1.624385,0,0,Sphere
2288,14.47977,-0.5153363,1.038832,1.629409,0,0,Sphere
2289,14.48506,-0.503979,1.039329,1.624385,0,0,Sphere
2289,14.48506,-0.5153363,1.038832,1.629409,0,0,Sphere
2290,14.49079,-0.503979,1.039329,1.624385,0,0,Sphere
2290,14.49079,-0.5153363,1.038832,1.629409,0,0,Sphere
2291,14.49638,-0.503979,1.039329,1.624385,0,0,Sphere
2291,14.49638,-0.5153363,1.038832,1.629409,0,0,Sphere
2292,14.50178,-0.503979,1.039329,1.624385,0,0,Sphere
