Global Position X,Global Position Y,Global Position Z,fixationID,Time,LayerNumber
-0.2934882,1.328161,1.580626,-1,3.229611,0
-0.2535165,1.329769,1.588265,-1,3.229611,0
-0.2931525,1.327319,1.580435,0,3.24545,0
-0.2531759,1.328935,1.588066,-1,3.24545,0
-0.291522,1.325309,1.580129,0,3.252638,0
-0.2515219,1.3269,1.58772,0,3.252638,0
-0.289401,1.323741,1.580044,0,3.266065,0
-0.2493802,1.325296,1.58759,0,3.266065,0
-0.2873974,1.322106,1.579919,0,3.280177,0
-0.2473568,1.323644,1.587426,0,3.280177,0
-0.2747743,1.339101,1.587298,0,3.302804,0
-0.2348473,1.340668,1.594821,0,3.302804,0
-0.2748002,1.334031,1.585775,0,3.309901,0
-0.2348258,1.335587,1.593255,0,3.309901,0
-0.2763437,1.335038,1.585796,0,3.321165,0
-0.2363792,1.336578,1.593296,0,3.321165,0
-0.2757946,1.335381,1.585999,0,3.33463,0
-0.2358301,1.336904,1.59349,0,3.33463,0
-0.2750561,1.33541,1.586141,0,3.348042,0
-0.2350888,1.336922,1.593622,0,3.348042,0
-0.2746811,1.344253,1.588857,0,3.361979,0
-0.2347904,1.345804,1.596416,0,3.361979,0
-0.2783407,1.34532,1.588512,0,3.378042,0
-0.2384697,1.346942,1.596139,0,3.378042,0
-0.276061,1.335252,1.585912,0,3.39162,0
-0.2360957,1.336824,1.59342,0,3.39162,0
