fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
47,-0.2902805,1.075972,1.582147,15.9445,-0.01594734
48,-0.3448592,1.09093,1.57735,16.10606,0.2814007
49,-0.2131134,1.192788,1.577977,16.32249,0.0977726
50,-0.1854486,1.206099,1.584626,16.42206,0.03840637
51,-0.1911134,1.227079,1.584952,16.51772,0.0993576
52,-0.1852719,1.310499,1.597638,16.69784,0.2085724
53,-0.3623216,1.36323,1.595954,16.95569,0.2506886
54,-0.3560686,1.345402,1.586559,17.11258,-0.01397133
55,-0.3372688,1.336624,1.583689,17.1596,0.04364014
56,-0.4095026,1.333175,1.588307,17.21017,-0.01407242
57,-5.138172,1.3302,10.01,17.24352,0.01420975
58,-5.734206,1.019718,10.01,17.3598,0.1665668
59,-4.945774,0.7450051,10.01,17.49443,0.03911972
60,-2.275707,0.2543595,5.084699,17.54426,-0.01337051
61,-0.9981566,0.5573269,2.372919,17.59061,0.04239464
62,-0.91036,0.549199,2.400119,17.64492,-0.01322174
63,-0.8113303,0.5561786,2.30868,17.67542,0.01320457
64,-0.6378616,0.609642,2.090153,17.71158,-0.01398087
65,-1.221506,0.1338188,4.779553,17.77151,0.07014847
66,-1.088001,-0.2198719,6.299515,17.87504,0.08376503
67,-0.3530957,0.2966989,3.696156,17.9513,-0.01269531
68,-0.07801104,0.6000229,2.122185,17.98186,0.01445007
69,-0.1782151,0.005550361,5.302944,18.01771,-0.01412582
70,0.05800783,0.330909,3.7329,18.0455,-0.01385689
71,0.7120421,-0.2516607,7.191671,18.13957,0.1391678
72,1.804856,-0.6169386,10.01,18.24828,0.01361656
73,2.279919,-0.6441426,10.01,18.30042,0.04187393
74,3.628561,-0.5681656,8.687538,18.57779,0.4594345
75,1.373891,0.6867982,1.876666,18.92686,0.1838169
76,1.425368,0.7844749,1.821147,19.04854,-0.01361847
77,1.422102,0.8625783,1.82476,19.08187,0.01402283
78,1.404474,0.915584,1.850072,19.118,-0.01413155
79,1.336096,1.089138,1.896931,19.16538,0.04218292
80,1.334441,1.193919,1.900661,19.21543,-0.01457787
81,1.326364,1.35643,1.904716,19.27565,0.0729084
82,1.305158,1.629219,1.939521,19.42808,0.1808052
83,1.296211,2.030949,1.991311,19.65084,0.2094231
84,1.319349,2.450467,2.256738,19.90765,0.2930622
85,1.024865,2.926887,2.022784,20.37469,0.3652496
86,0.7034491,2.901436,1.935313,20.58617,0.01476097
87,0.5239576,2.895285,1.964028,20.6549,0.07417488
88,0.3708874,2.903362,1.963906,20.72178,-0.009906769
89,0.2683975,2.906606,1.963451,20.76592,0.04209709
90,0.142068,2.902242,1.965324,20.83694,0.04381752
91,0.2624531,2.997585,1.966747,20.96713,0.1111698
92,0.1191533,3.012634,1.992131,21.0528,-0.01484108
93,-0.08690544,3.017519,1.960629,21.13318,0.1111851
94,-0.3880575,3.007839,1.889116,21.21973,-0.01490974
95,-0.4678232,3.017311,1.874971,21.25299,0.013937
96,-0.8620074,3.042469,1.864668,21.43894,0.306118
97,-2.070097,3.217835,1.803426,22.05981,0.9200268
98,-2.748871,2.978897,1.90917,22.63265,0.01308632
99,-2.40149,0.5973576,1.955494,23.98182,0.06973457
100,-2.152878,0.6491767,2.046127,24.13051,0.1700592
101,-1.861807,0.6625969,2.104956,24.2617,0.03988838
102,-1.734773,0.663756,2.147841,24.31202,-0.01376724
103,-7.631862,-0.359451,10.01,24.34576,0.01416779
104,-6.419408,-0.05425809,10.01,24.57605,0.4001236
105,-1.1934,0.6510764,3.381929,25.03575,0.4459915
106,-0.1252123,0.444947,5.221767,25.33727,0.09209442
107,0.2822166,-0.1092878,10.01,25.41799,0.01415443
108,0.8784743,-0.2602558,10.01,25.50066,0.09296036
109,1.384681,-0.5265952,10.01,25.59973,0.04318619
110,1.962025,-0.5271263,10.01,25.66729,0.0420723
111,2.730006,-0.4741689,10.01,25.75201,0.06886292
112,3.428154,-0.3848034,10.01,25.8161,-0.01384735
113,4.859434,0.2634738,8.44892,25.96174,0.2507877
114,1.645474,1.168841,2.104632,26.39864,0.5629158
115,1.335042,1.906654,1.907847,26.915,0.3901844
116,1.289976,2.572995,1.95103,27.27808,0.2735691
117,0.6133553,3.11491,1.913809,28.05407,0.7229691
118,-0.07458967,3.025086,1.868639,28.49903,0.1251488
119,-1.955255,3.086632,1.899432,29.62864,0.7797394
120,-2.677661,2.82317,2.067054,30.09426,0.0374794
121,-2.63561,2.569823,1.902969,30.31761,0.3490181
122,-2.583746,2.208781,1.896653,30.79092,0.524229
123,-2.588407,1.674002,2.008418,31.16704,0.03714371
124,-2.635946,1.428736,2.063263,31.32545,0.4466057
125,-2.766698,0.9880279,2.182502,31.65062,-0.01412964
126,-2.931492,0.3345746,4.519121,32.49817,1.184027
127,-0.3246923,0.5650688,1.98559,33.2301,0.1904564
128,-0.1992703,0.5494498,1.886496,33.40771,0.1122169
129,0.02006367,0.5808282,1.927882,33.54407,0.1027946
130,0.2177636,0.5862044,1.936585,33.64729,0.01398849
131,0.3014861,0.5807292,1.929153,33.69516,0.02830124
132,0.8282931,-0.2248911,7.637869,33.90987,0.3303185
133,0.8397332,0.2458151,10.01001,34.42872,0.6405525
134,0.7116818,0.6643245,10.01,34.78339,-0.01390839
135,-0.3958015,1.593997,1.770603,34.89597,-0.01390457
136,-0.4224473,1.608296,1.796641,35.0052,-0.02447891
137,-0.4422317,1.535601,1.710877,35.04795,-0.01409149
138,-0.2522349,1.431981,1.632869,35.31292,0.4728432
139,-0.2128743,1.610125,1.809845,35.61693,0.04982376
140,-0.2533803,1.628311,1.823623,35.67575,-0.01415253
141,-0.2374372,1.605471,1.797099,35.77934,0.1190643
142,1.258689,3.204855,2.028829,36.18383,0.0140419
143,1.310024,3.196032,1.891344,36.24952,0.0689888
144,1.100495,3.105012,1.814628,36.47006,0.3063164
145,0.8443974,3.025932,1.806936,36.68966,0.04954147
146,0.6702358,3.005002,1.82231,36.81213,0.1396255
147,0.6811704,3.098528,1.800463,36.92002,0.0135231
148,0.6748998,3.277917,1.832822,37.00896,0.07773972
149,0.2650318,3.28239,1.914843,37.27262,0.05476761
150,-0.2165422,3.239993,1.85406,37.49231,0.01358032
151,-0.387952,3.233906,1.827448,37.56017,0.08283615
152,-0.6056786,3.25185,1.826328,37.68859,0.1256332
153,-0.845498,3.264846,1.821581,37.82368,0.0763588
154,-1.098164,3.250687,1.770127,37.91959,0.01390839
155,-1.435724,3.354637,1.762309,38.10468,0.3059006
156,-2.173366,3.485873,1.743444,38.47051,0.4043007
157,-2.800779,2.807977,1.788148,39.18211,0.9161987
158,-2.702115,1.75805,2.030329,39.92844,0.05635452
159,-2.783422,0.7561872,2.130971,40.49595,0.09658813
160,-4.87115,0.103334,7.70326,41.41677,1.143444
161,-0.3541025,0.8475721,1.714136,42.23753,0.424305
162,-0.3412766,0.9841636,1.614718,42.56103,0.1524963
