fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.460331,0.8961732,1.6893,9.768379,0.3629341
1,-0.4806998,0.9339857,1.669092,9.988157,0.01149845
2,-0.502781,0.9880453,1.647328,10.15127,0.2669125
3,-0.5773516,1.007029,1.676623,10.31535,-0.01416397
4,-0.6210693,1.043186,1.692985,10.38205,0.08567333
5,-0.5744799,1.054397,1.655318,10.49343,0.08347225
6,-4.869718,1.034715,10.01,10.57281,0.01716518
7,-6.84586,0.9083737,10.01,10.60874,-0.01196861
8,-8.912621,0.7617822,10.01,10.73643,0.2091827
9,-8.015799,0.937502,10.01,11.03627,0.3364849
10,-6.132473,-0.2016606,10.01,11.24084,0.01441669
11,-2.013994,-0.4707007,4.915975,11.27669,-0.01437664
12,-1.23526,-1,4.66272,11.41945,0.2367239
13,-0.3908894,-1,3.529547,11.71881,0.3065195
14,-0.8786973,-1,5.857506,11.90934,0.01486206
15,-0.3833374,0.9270851,1.648929,11.94567,-0.01420212
16,-0.3988093,1.118099,1.574887,12.0398,0.1392746
17,-4.179255,1.893899,10.01,12.14153,-0.01238537
18,-6.849226,1.765027,10.01,12.1734,0.01422215
19,-7.720273,1.645657,10.01,12.28978,0.1668034
20,-8.677903,1.552473,10.01,12.58919,0.3756819
21,-5.2132,1.591362,10.01,12.81479,0.0129385
22,-0.4318278,1.096756,1.589496,12.89647,0.09594345
23,-0.2022897,1.087709,1.594075,12.97643,-0.01386642
24,0.03253524,1.054604,1.764615,13.04278,0.08408546
25,0.05557134,1.029611,1.799364,13.12726,0.0273819
26,-0.003144124,1.04636,1.722931,13.1778,0.01497078
27,-0.06057765,1.034557,1.680082,13.24488,0.07045269
28,-0.09553362,1.130142,1.628952,13.32955,0.04408932
29,-0.1212297,1.147538,1.614727,13.51551,0.2807245
30,-0.1487925,1.219194,1.598931,13.69801,0.02850628
31,-0.2078905,1.288507,1.586531,13.84303,0.2116508
32,-0.2420969,1.368465,1.602015,13.97966,-0.01128674
33,-0.2666355,1.51634,1.685924,14.07303,0.1386681
34,-0.2799914,1.482853,1.654964,14.19227,0.04243946
35,-0.4093445,1.58285,1.758443,14.36544,0.2512531
36,-9.511111,2.078989,10.01,14.62016,-0.0141058
37,-9.867469,1.761923,10.01,14.74622,-0.01177025
38,-9.299984,1.699563,10.01,14.84027,0.1004353
39,-8.546043,1.857094,10.01,14.9307,0.04252338
40,-8.003611,2.106909,10.01,15.00031,0.04449272
41,-9.267593,2.093876,10.01,15.05243,-0.01060677
42,-9.433593,1.565972,10.01,15.40685,0.1694384
43,-7.740824,1.735335,10.01,15.57003,0.097785
44,-7.674478,1.960709,10.01,15.68251,0.06701565
45,-0.3184812,1.032506,1.594051,15.84295,0.0280056
46,-0.2328026,1.074623,1.591553,15.89887,0.02890587
