FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
1071,9.559389,-0.4610912,0.8937098,1.69123,-1,0,Sphere
1071,9.559389,-0.4915632,0.8900467,1.704829,-1,0,Sphere
1072,9.595942,-0.462635,0.910194,1.677594,0,0,Sphere
1072,9.595942,-0.4929812,0.9066271,1.693371,-1,0,Sphere
1073,9.611446,-0.4622882,0.9117374,1.676389,0,0,Sphere
1073,9.611446,-0.4925579,0.9082037,1.692096,0,0,Sphere
1074,9.628845,-0.4625236,0.9125996,1.675908,0,0,Sphere
1074,9.628845,-0.4928048,0.9090613,1.691594,0,0,Sphere
1075,9.643809,-0.4574273,0.9130995,1.67328,0,0,Sphere
1075,9.643809,-0.4875081,0.9095324,1.689126,0,0,Sphere
1076,9.659822,-0.4552282,0.9136449,1.671921,0,0,Sphere
1076,9.659822,-0.4852081,0.910077,1.687811,0,0,Sphere
1077,9.669831,-0.451623,0.9150942,1.669775,0,0,Sphere
1077,9.669831,-0.4812218,0.9116093,1.684979,0,0,Sphere
1078,9.682376,-0.4427703,0.8979019,1.681572,0,0,Sphere
1078,9.682376,-0.4722287,0.8943295,1.694455,0,0,Sphere
1079,9.696726,-0.4389433,0.8988316,1.679622,0,0,Sphere
1079,9.696726,-0.4681423,0.8952752,1.692227,0,0,Sphere
1080,9.709283,-0.4383944,0.8958622,1.682073,0,0,Sphere
1080,9.709283,-0.4677498,0.8922454,1.694793,0,0,Sphere
1081,9.723652,-0.4356701,0.8970742,1.680201,0,0,Sphere
1081,9.723652,-0.4648116,0.8934801,1.692697,0,0,Sphere
1082,9.73715,-0.4395419,0.8826678,1.694023,0,0,Sphere
1082,9.73715,-0.4698291,0.8786991,1.70757,0,0,Sphere
1083,9.750611,-0.4387205,0.8855929,1.691206,0,0,Sphere
1083,9.750611,-0.4687925,0.8816525,1.704587,0,0,Sphere
1084,9.76552,-0.4385143,0.8879614,1.689061,0,0,Sphere
1084,9.76552,-0.4684401,0.8840342,1.702345,0,0,Sphere
1085,9.779011,-0.4367004,0.8996067,1.678277,0,0,Sphere
1085,9.779011,-0.4658012,0.8959272,1.690852,0,0,Sphere
1086,9.792078,-0.435407,0.9002898,1.677293,0,0,Sphere
1086,9.792078,-0.4644006,0.8966507,1.689732,0,0,Sphere
1087,9.806756,-0.4443564,0.8876786,1.691038,0,0,Sphere
1087,9.806756,-0.4746619,0.8837236,1.704731,0,0,Sphere
1088,9.822474,-0.443422,0.8871144,1.691258,0,0,Sphere
1088,9.822474,-0.4737245,0.8831332,1.70494,0,0,Sphere
1089,9.835807,-0.4422484,0.8872814,1.690764,0,0,Sphere
1089,9.835807,-0.472489,0.8832816,1.704388,0,0,Sphere
1090,9.847894,-0.4405521,0.8993063,1.67968,0,0,Sphere
1090,9.847894,-0.4699525,0.8955401,1.692605,0,0,Sphere
1091,9.862138,-0.4398786,0.9012716,1.677752,0,0,Sphere
1091,9.862138,-0.4691272,0.8975377,1.690545,0,0,Sphere
1092,9.875462,-0.4389637,0.893366,1.684438,0,0,Sphere
1092,9.875462,-0.4686634,0.8894753,1.697572,0,0,Sphere
1093,9.888954,-0.4395904,0.8945478,1.683583,0,0,Sphere
1093,9.888954,-0.4692592,0.890654,1.696724,0,0,Sphere
1094,9.90329,-0.4405801,0.8951484,1.683347,0,0,Sphere
1094,9.90329,-0.4702736,0.8912395,1.696546,0,0,Sphere
1095,9.917278,-0.4424906,0.8949875,1.684054,0,0,Sphere
1095,9.917278,-0.4723085,0.891045,1.697409,0,0,Sphere
1096,9.930744,-0.4436673,0.8945918,1.68475,0,0,Sphere
1096,9.930744,-0.4735817,0.8906329,1.698208,0,0,Sphere
1097,9.94561,-0.448613,0.8936883,1.687017,0,0,Sphere
1097,9.94561,-0.4788714,0.8896879,1.700844,0,0,Sphere
1098,9.958876,-0.4485886,0.8937013,1.686998,0,0,Sphere
1098,9.958876,-0.4788468,0.8897214,1.700806,0,0,Sphere
1099,9.97503,-0.4684487,0.9345953,1.663611,0,0,Sphere
1099,9.97503,-0.4980758,0.9311724,1.678227,0,0,Sphere
1100,9.988809,-0.4674999,0.9357156,1.662423,1,0,Sphere
1100,9.988809,-0.4970297,0.9323068,1.67701,0,0,Sphere
1101,10.00031,-0.4683904,0.9359078,1.662692,1,0,Sphere
1101,10.00031,-0.4979542,0.9324861,1.677257,1,0,Sphere
1102,10.01455,-0.4906062,0.9671522,1.652199,1,0,Sphere
1102,10.01455,-0.5200071,0.9641702,1.666304,1,0,Sphere
1103,10.02793,-0.4905991,0.9677519,1.651902,2,0,Sphere
1103,10.02793,-0.5199835,0.9647772,1.665996,1,0,Sphere
1104,10.04244,-0.4920114,0.9697787,1.651517,2,0,Sphere
1104,10.04244,-0.5214025,0.9668055,1.665578,2,0,Sphere
1105,10.05634,-0.4922834,0.9703629,1.651348,2,0,Sphere
1105,10.05634,-0.5216729,0.9673861,1.665401,2,0,Sphere
1106,10.07047,-0.4754601,0.9903083,1.634345,2,0,Sphere
1106,10.07047,-0.5032701,0.9877006,1.647582,2,0,Sphere
1107,10.08375,-0.4748365,0.9909738,1.633751,2,0,Sphere
1107,10.08375,-0.5025948,0.9883803,1.646959,2,0,Sphere
1108,10.09845,-0.474228,0.991762,1.633103,2,0,Sphere
1108,10.09845,-0.5019305,0.9891909,1.646276,2,0,Sphere
1109,10.11197,-0.4735882,0.9972485,1.630141,2,0,Sphere
1109,10.11197,-0.5010701,0.9947726,1.643134,2,0,Sphere
1110,10.12796,-0.4731542,0.9987656,1.629212,2,0,Sphere
1110,10.12796,-0.5005661,0.9963188,1.642152,2,0,Sphere
1111,10.14376,-0.4793375,1.003418,1.629592,2,0,Sphere
1111,10.14376,-0.506905,1.001002,1.642455,2,0,Sphere
1112,10.15355,-0.4794157,1.004748,1.628975,2,0,Sphere
1112,10.15355,-0.5069472,1.002339,1.641805,2,0,Sphere
1113,10.16735,-0.4844818,1.00506,1.631001,2,0,Sphere
1113,10.16735,-0.512268,1.002626,1.643879,2,0,Sphere
1114,10.18137,-0.4841061,1.005417,1.630664,2,0,Sphere
1114,10.18137,-0.5118669,1.002989,1.643531,2,0,Sphere
1115,10.19543,-0.484311,1.00641,1.630266,2,0,Sphere
1115,10.19543,-0.5120518,1.003995,1.643106,2,0,Sphere
1116,10.20903,-0.4867151,0.9992844,1.634789,2,0,Sphere
1116,10.20903,-0.5148351,0.9967507,1.647884,2,0,Sphere
1117,10.22399,-0.4891422,1.001347,1.634823,2,0,Sphere
1117,10.22399,-0.5173186,0.9988306,1.647881,2,0,Sphere
1118,10.23705,-0.4928893,0.9818068,1.646004,2,0,Sphere
1118,10.23705,-0.5219645,0.9789781,1.659733,2,0,Sphere
1119,10.25094,-0.4969066,0.9836872,1.646811,2,0,Sphere
1119,10.25094,-0.526125,0.9808737,1.66052,2,0,Sphere
1120,10.26549,-0.5009505,0.9848583,1.647976,2,0,Sphere
1120,10.26549,-0.5303404,0.9820349,1.661698,2,0,Sphere
1121,10.28162,-0.5214033,0.9835914,1.657195,2,0,Sphere
1121,10.28162,-0.5534443,0.9805159,1.676134,2,0,Sphere
1122,10.29484,-0.5265313,0.9836068,1.659325,2,0,Sphere
1122,10.29484,-0.5594658,0.9804184,1.680278,2,0,Sphere
1123,10.30685,-0.5559764,1.008561,1.661734,2,0,Sphere
1123,10.30685,-0.5912316,1.005642,1.686498,2,0,Sphere
1124,10.32102,-0.5677547,1.007988,1.66982,3,0,Sphere
1124,10.32102,-0.6040404,1.004964,1.695245,2,0,Sphere
1125,10.33496,-0.5815942,1.044441,1.663188,3,0,Sphere
1125,10.33496,-0.6181158,1.042139,1.68875,3,0,Sphere
1126,10.34912,-0.5926254,1.042948,1.671232,4,0,Sphere
