ObjectName, first found frame Count, firstFoundTime, Cumulative Gaze Duration, numberOfGazes, number of gaze points, mean gaze duration
Sphere,1071,9.559389,6.334208,12,849,0.5278506
Cube,2243,26.03066,0.2006111,1,25,0.2006111
