Global Position X,Global Position Y,Global Position Z,fixationID,Time,LayerNumber
-0.3603567,0.8915031,0.9607065,-1,52.0371,0
-0.3661797,0.889765,0.9573236,0,52.05741,0
-0.3741603,0.8865092,0.9595519,0,52.06651,0
-0.4561962,0.8374067,1.034909,0,52.19027,0
-0.4561116,0.8404682,1.017408,1,52.20528,0
-0.4562576,0.8435298,0.9996351,1,52.218,0
-0.4564176,0.8465,0.982278,1,52.23085,0
-0.4563518,0.8282536,1.031561,1,52.24521,0
-0.4563039,0.8296814,1.018547,1,52.25927,0
-0.456288,0.8426135,0.9966019,1,52.27264,0
-0.4564188,0.8456167,0.9823114,1,52.28694,0
-0.456547,0.8485506,0.9682957,1,52.30061,0
-0.4566729,0.8514166,0.9545448,1,52.31478,0
-0.456634,0.835734,0.9614595,1,52.32786,0
-0.4567639,0.8365181,0.947661,1,52.34203,0
-0.4570357,0.7848384,0.928385,1,52.35786,0
-0.4606489,0.7835453,0.9210292,1,52.3716,0
-0.4661816,0.78071,0.9178285,1,52.38313,0
-0.4722223,0.777819,0.9143289,1,52.39683,0
-0.5180073,0.7995434,0.9137704,1,52.41085,0
-0.5251774,0.796766,0.9062433,1,52.42498,0
-0.5251774,0.8184316,0.9164012,1,52.43918,0
-0.5305827,0.8182021,0.9023116,1,52.45251,0
-0.5409161,0.81478,0.8975312,1,52.46685,0
-0.60307,0.8190252,0.8975311,1,52.48063,0
-0.6232549,0.8149677,0.8975312,1,52.49479,0
-0.6514229,0.8399348,0.897531,1,52.50981,0
-0.6740909,0.8365724,0.897531,1,52.52392,0
-0.6976091,0.832921,0.8980476,1,52.53603,0
-0.7208688,0.8294929,0.897531,1,52.5494,0
-0.7688323,0.8458499,0.8975309,1,52.56365,0
-0.796824,0.8423737,0.9004105,1,52.57776,0
-0.8229455,0.8753806,0.896652,1,52.59161,0
-0.8477609,0.8735832,0.8969328,1,52.60544,0
-0.8731617,0.8716999,0.897257,1,52.6195,0
-0.9003744,0.8693477,0.8989053,1,52.63309,0
-0.9182113,0.8721533,0.8975307,1,52.64782,0
-0.9403588,0.8716684,0.8975307,1,52.66293,0
-0.9264075,0.8318344,0.897531,1,52.67677,0
-0.9743481,0.8210223,0.9280969,1,52.68861,0
-0.9957948,0.8200141,0.9286962,1,52.70244,0
-1.016002,0.8187542,0.9292608,1,52.71622,0
-1.017676,0.8197032,0.9293076,1,52.73047,0
-1.04068,0.8406091,0.9299504,1,52.74432,0
-1.061782,0.8394048,0.9305401,1,52.75863,0
-1.083183,0.8384325,0.9311382,1,52.77169,0
-1.104998,0.8374074,0.9317477,1,52.78587,0
-1.083018,0.8214727,0.9311336,1,52.80001,0
-1.104932,0.8197298,0.9317459,1,52.81671,0
-1.11774,0.8246768,0.9202288,1,52.82925,0
-1.116268,0.8332245,0.8957497,1,52.84124,0
-1.114914,0.8399256,0.8732345,1,52.85518,0
-1.113588,0.8464499,0.8511882,1,52.86879,0
-1.101531,0.9096242,0.74791,1,52.88284,0
-1.101531,0.9173054,0.7274956,2,52.8972,0
-1.101531,0.9371957,0.6661047,2,52.91178,0
-1.101531,0.9450896,0.6471615,2,52.92485,0
-1.101531,0.9524941,0.6286344,2,52.93899,0
-1.10784,0.9585053,0.6147989,2,52.95277,0
-1.098624,0.9872653,0.5873942,2,52.96805,0
-1.099319,0.9945357,0.5696447,2,52.98233,0
-1.099143,1.001246,0.5786379,2,52.9944,0
-1.099692,1.007342,0.5612143,2,53.00726,0
-1.100487,1.013518,0.5442586,2,53.02201,0
-1.101273,1.01961,0.5274948,2,53.03524,0
-1.102205,1.040478,0.5059812,2,53.04949,0
-1.101531,1.046327,0.4877957,2,53.06342,0
-1.101531,1.040828,0.5033642,2,53.07759,0
-1.101531,1.045764,0.4857792,2,53.09095,0
-1.101531,1.050614,0.4684212,2,53.10582,0
-1.101531,1.038723,0.447317,2,53.12093,0
-1.101531,1.043455,0.426921,2,53.13475,0
-1.101531,1.01221,0.3918074,2,53.14693,0
-1.101531,1.01648,0.3680316,2,53.1604,0
-1.105956,1.020143,0.3480481,2,53.17434,0
-1.101531,1.025011,0.3241343,2,53.18879,0
-1.10527,1.05966,0.283272,2,53.20236,0
-1.107587,1.062545,0.2619113,2,53.21683,0
-1.099554,1.017942,0.2305693,2,53.23004,0
-1.100832,1.020727,0.209378,2,53.2439,0
-1.109564,1.022358,0.1909209,2,53.25842,0
-1.100085,1.026595,0.1664341,2,53.27308,0
-1.100046,1.025554,0.147904,2,53.28788,0
-1.100155,1.028392,0.1284948,2,53.29996,0
-1.101119,1.026913,0.1083689,2,53.31289,0
-1.109067,1.02861,0.09212846,2,53.32732,0
-1.101531,1.032457,0.07199836,2,53.34105,0
-1.101531,1.035183,0.05395919,2,53.35547,0
-1.101531,1.040313,0.05241357,2,53.36942,0
-1.101531,1.043427,0.03653388,2,53.38339,0
-1.101531,1.05469,0.05834815,2,53.39754,0
-1.101531,1.057801,0.04364733,2,53.41066,0
-1.102184,1.060801,0.02916716,2,53.42661,0
-1.105353,1.063488,0.01524214,2,53.44016,0
-1.101531,1.072115,0.01549383,2,53.45256,0
-1.101531,1.112075,0.002180621,2,53.46599,0
-1.098154,1.136183,-0.0741054,2,53.48057,0
-1.09776,1.140204,-0.08744526,3,53.49405,0
-1.097555,1.144188,-0.1007194,3,53.50773,0
-1.108058,1.162765,-0.1300932,3,53.52217,0
-1.107111,1.167842,-0.1426201,3,53.53633,0
-1.102805,1.171395,-0.1585434,3,53.54964,0
-1.100385,1.17523,-0.1707322,3,53.56419,0
-1.100176,1.179646,-0.1828552,3,53.57998,0
-1.099969,1.184032,-0.194912,3,53.59328,0
-1.100291,1.207252,-0.2077446,3,53.60518,0
-1.1093,1.211237,-0.2201148,3,53.61922,0
-1.171527,1.178178,-0.3255879,3,53.75792,0
-1.104148,1.169985,-0.3429762,4,53.77209,0
-1.100063,1.195125,-0.3718107,4,53.78596,0
-1.100397,1.190434,-0.3836298,4,53.79989,0
-1.100773,1.188769,-0.3969631,4,53.81323,0
-1.101151,1.187087,-0.4103295,4,53.82769,0
-1.10143,1.189131,-0.4202248,4,53.84141,0
-1.101531,1.187169,-0.432716,4,53.85537,0
-1.101531,1.182675,-0.4332579,4,53.86911,0
-1.101531,1.179048,-0.4445627,4,53.88459,0
-1.101531,1.176179,-0.4563373,4,53.89824,0
-1.104821,1.173239,-0.4688318,4,53.91041,0
-1.107126,1.170031,-0.4703977,4,53.92476,0
-1.113303,1.166189,-0.481431,4,53.93889,0
-1.10953,1.163494,-0.4753225,4,53.95219,0
-1.110857,1.159813,-0.4840795,4,53.96622,0
-1.14044,1.155366,-0.499177,4,53.98032,0
-1.109986,1.1525,-0.5008264,4,53.99416,0
-1.134918,1.083836,-0.499177,4,54.00817,0
-1.101997,1.083002,-0.4790493,5,54.02291,0
-1.110649,1.074338,-0.5001994,5,54.03773,0
-1.106771,1.069672,-0.5041207,5,54.05124,0
-1.10916,1.064355,-0.5095142,5,54.06351,0
-1.101618,1.059997,-0.5118705,5,54.07756,0
-1.101531,1.04194,-0.5285304,5,54.09128,0
-1.101531,0.9538619,-0.5281096,5,54.10524,0
-1.101531,0.949217,-0.530677,6,54.11936,0
-1.101531,0.9442948,-0.5336834,6,54.1327,0
-1.101531,0.9393613,-0.5366987,6,54.14674,0
-1.101531,0.9012333,-0.5342963,6,54.16047,0
-1.101531,0.8966804,-0.5273257,6,54.17507,0
-1.101531,0.889688,-0.5187842,6,54.19004,0
-1.101531,0.8840023,-0.5166416,6,54.2045,0
-1.101531,0.8784994,-0.5154768,6,54.21594,0
-1.101531,0.8729878,-0.5143195,6,54.2291,0
-1.10121,0.8770284,-0.4131633,6,54.24378,0
-1.101078,0.8721609,-0.4087909,7,54.25815,0
-1.100385,0.9270815,-0.374554,7,54.27188,0
-1.100218,0.9216479,-0.3681729,8,54.28569,0
-1.100053,0.91627,-0.3620548,8,54.29965,0
-1.099888,0.9108756,-0.3559499,8,54.31347,0
-1.099858,0.9099024,-0.349286,8,54.32769,0
