FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.4199992,True,,0.02466674,0.01811046,0.04051938,0.0327356,0.3550677,0.2968329,0,0,0.1081383,0.15015,0.0006236383,0.003211418,0.08481441,0.0009997711,0.1877213,0.1119988,0.001287794,0.02444403,0,0,0,0,0.0104325,0.007615309,0.09028117,0.04523576,0.06230542,0.1027638,0.06015318,0.02707353,0.0555671,0.0462358,0.0655822,0.06956495,0.02128049,0.04027302,0.0212805,0.03569169,0,0,0.07318879,0.08913365,0.02177595,0.0250998,0.05902686,0.05902039,0.04844075,0.0555512,0.06549137,0.05131542,0.09942042,0.008194182,0.008477484,0.01075887,0.01065099,0.1172262,0.1221698,0.00135148,0.01593293,0,0,0.1391542,0.1632769,1,0
5,0.4656956,True,,0.02466674,0.01811046,0.04051938,0.0327356,0.3550677,0.2968329,0,0,0.1081383,0.15015,0.0006236383,0.003211418,0.08481441,0.0009997711,0.1877213,0.1119988,0.001287794,0.02444403,0,0,0,0,0.0104325,0.007615309,0.09028117,0.04523576,0.06230542,0.1027638,0.06015318,0.02707353,0.0555671,0.0462358,0.0655822,0.06956495,0.02128049,0.04027302,0.0212805,0.03569169,0,0,0.07318879,0.08913365,0.02177595,0.0250998,0.05902686,0.05902039,0.04844075,0.0555512,0.06549137,0.05131542,0.09942042,0.008194182,0.008477484,0.01075887,0.01065099,0.1172262,0.1221698,0.00135148,0.01593293,0,0,0.1391542,0.1632769,1,0
6,0.4788902,True,,0.01666423,0.01334316,0.0365145,0.03229725,0.3387744,0.2877018,0,0,0.1056545,0.1564327,0.003615112,0.003466976,1.519918E-06,0.02791223,0.0223397,0.05021291,0,0.02444368,0.004926062,0,0,0,0.00861791,0.008700721,0.07895542,0.04839885,0.05036455,0.0979431,0.02026143,0.02460853,0.06501375,0.05542685,0.06730169,0.07448319,0.01557521,0.03632817,0.01557522,0.0355173,0,0,0.07387859,0.07825273,0.02475908,0.02267813,0.05736699,0.05529675,0.04656675,0.05429361,0.07204212,0.05231415,0.09715495,0.006664958,0.004577152,0.0106991,0.01064787,0.1155218,0.115694,0.0009113585,0.01500648,0,0,0.1387014,0.1608375,1,0
7,0.4928477,True,,0.01666423,0.01334316,0.0365145,0.03229725,0.3387744,0.2877018,0,0,0.1056545,0.1564327,0.003615112,0.003466976,1.519918E-06,0.02791223,0.0223397,0.05021291,0,0.02444368,0.004926062,0,0,0,0.00861791,0.008700721,0.07895542,0.04839885,0.05036455,0.0979431,0.02026143,0.02460853,0.06501375,0.05542685,0.06730169,0.07448319,0.01557521,0.03632817,0.01557522,0.0355173,0,0,0.07387859,0.07825273,0.02475908,0.02267813,0.05736699,0.05529675,0.04656675,0.05429361,0.07204212,0.05231415,0.09715495,0.006664958,0.004577152,0.0106991,0.01064787,0.1155218,0.115694,0.0009113585,0.01500648,0,0,0.1387014,0.1608375,1,0
8,0.5067946,True,,0.01878065,0.01731855,0.03892303,0.03218155,0.3512787,0.2992157,0,0,0.105949,0.1531684,0.0022834,0.001935601,0.1453584,5.326048E-05,0.1918045,0.05548751,0.001287511,0.03059366,0,0,0,0,0.01028345,0.01034135,0.06985529,0.04584868,0.04580501,0.09705743,0.02456158,0.05035879,0.0698662,0.06002541,0.07071231,0.07449403,0.01307389,0.03873326,0.0130739,0.0339218,0,0,0.07407234,0.08880075,0.02345083,0.02215927,0.05550442,0.05451282,0.04937143,0.0539564,0.07313142,0.05849586,0.09665857,0.007897064,0.00700693,0.01068252,0.01064701,0.1161593,0.1163064,0.0007496791,0.01374511,0,0,0.1440296,0.1653702,1,0
9,0.5173095,True,,0.01878065,0.01731855,0.03892303,0.03218155,0.3512787,0.2992157,0,0,0.105949,0.1531684,0.0022834,0.001935601,0.1453584,5.326048E-05,0.1918045,0.05548751,0.001287511,0.03059366,0,0,0,0,0.01028345,0.01034135,0.06985529,0.04584868,0.04580501,0.09705743,0.02456158,0.05035879,0.0698662,0.06002541,0.07071231,0.07449403,0.01307389,0.03873326,0.0130739,0.0339218,0,0,0.07407234,0.08880075,0.02345083,0.02215927,0.05550442,0.05451282,0.04937143,0.0539564,0.07313142,0.05849586,0.09665857,0.007897064,0.00700693,0.01068252,0.01064701,0.1161593,0.1163064,0.0007496791,0.01374511,0,0,0.1440296,0.1653702,1,0
10,0.5316355,True,,0.01878065,0.01731855,0.03892303,0.03218155,0.3512787,0.2992157,0,0,0.105949,0.1531684,0.0022834,0.001935601,0.1453584,5.326048E-05,0.1918045,0.05548751,0.001287511,0.03059366,0,0,0,0,0.01028345,0.01034135,0.06985529,0.04584868,0.04580501,0.09705743,0.02456158,0.05035879,0.0698662,0.06002541,0.07071231,0.07449403,0.01307389,0.03873326,0.0130739,0.0339218,0,0,0.07407234,0.08880075,0.02345083,0.02215927,0.05550442,0.05451282,0.04937143,0.0539564,0.07313142,0.05849586,0.09665857,0.007897064,0.00700693,0.01068252,0.01064701,0.1161593,0.1163064,0.0007496791,0.01374511,0,0,0.1440296,0.1653702,1,0
11,0.5467337,True,,0.01878065,0.01731855,0.03892303,0.03218155,0.3512787,0.2992157,0,0,0.105949,0.1531684,0.0022834,0.001935601,0.1453584,5.326048E-05,0.1918045,0.05548751,0.001287511,0.03059366,0,0,0,0,0.01028345,0.01034135,0.06985529,0.04584868,0.04580501,0.09705743,0.02456158,0.05035879,0.0698662,0.06002541,0.07071231,0.07449403,0.01307389,0.03873326,0.0130739,0.0339218,0,0,0.07407234,0.08880075,0.02345083,0.02215927,0.05550442,0.05451282,0.04937143,0.0539564,0.07313142,0.05849586,0.09665857,0.007897064,0.00700693,0.01068252,0.01064701,0.1161593,0.1163064,0.0007496791,0.01374511,0,0,0.1440296,0.1653702,1,0
12,0.5610089,True,,0.01878065,0.01731855,0.03892303,0.03218155,0.3512787,0.2992157,0,0,0.105949,0.1531684,0.0022834,0.001935601,0.1453584,5.326048E-05,0.1918045,0.05548751,0.001287511,0.03059366,0,0,0,0,0.01028345,0.01034135,0.06985529,0.04584868,0.04580501,0.09705743,0.02456158,0.05035879,0.0698662,0.06002541,0.07071231,0.07449403,0.01307389,0.03873326,0.0130739,0.0339218,0,0,0.07407234,0.08880075,0.02345083,0.02215927,0.05550442,0.05451282,0.04937143,0.0539564,0.07313142,0.05849586,0.09665857,0.007897064,0.00700693,0.01068252,0.01064701,0.1161593,0.1163064,0.0007496791,0.01374511,0,0,0.1440296,0.1653702,1,0
13,0.5771707,True,,0.01704563,0.01371873,0.04115137,0.03205123,0.3633153,0.3181298,0,0,0.1062409,0.1553784,0.0009591205,0.000669877,0.07171832,0.0001055598,0.1354984,0.06578498,0.01178981,0.03255371,0,0,0,0,0.008521399,0.008552962,0.08576394,0.04372248,0.04326563,0.1083092,0.01170567,0.01996588,0.05925271,0.05616992,0.06734994,0.08716603,0.01133241,0.04102876,0.01133241,0.03261552,0,0,0.07429966,0.08992855,0.02973784,0.02477067,0.06698007,0.05905716,0.05181327,0.05913726,0.06899606,0.058004,0.09829319,0.009321968,0.009235997,0.01066321,0.01064602,0.1304239,0.1284473,0.0005085496,0.01420847,0,0,0.1483577,0.1717907,1,0
14,0.5875306,True,,0.01704563,0.01371873,0.04115137,0.03205123,0.3633153,0.3181298,0,0,0.1062409,0.1553784,0.0009591205,0.000669877,0.07171832,0.0001055598,0.1354984,0.06578498,0.01178981,0.03255371,0,0,0,0,0.008521399,0.008552962,0.08576394,0.04372248,0.04326563,0.1083092,0.01170567,0.01996588,0.05925271,0.05616992,0.06734994,0.08716603,0.01133241,0.04102876,0.01133241,0.03261552,0,0,0.07429966,0.08992855,0.02973784,0.02477067,0.06698007,0.05905716,0.05181327,0.05913726,0.06899606,0.058004,0.09829319,0.009321968,0.009235997,0.01066321,0.01064602,0.1304239,0.1284473,0.0005085496,0.01420847,0,0,0.1483577,0.1717907,1,0
15,0.6018234,True,,0.01704563,0.01371873,0.04115137,0.03205123,0.3633153,0.3181298,0,0,0.1062409,0.1553784,0.0009591205,0.000669877,0.07171832,0.0001055598,0.1354984,0.06578498,0.01178981,0.03255371,0,0,0,0,0.008521399,0.008552962,0.08576394,0.04372248,0.04326563,0.1083092,0.01170567,0.01996588,0.05925271,0.05616992,0.06734994,0.08716603,0.01133241,0.04102876,0.01133241,0.03261552,0,0,0.07429966,0.08992855,0.02973784,0.02477067,0.06698007,0.05905716,0.05181327,0.05913726,0.06899606,0.058004,0.09829319,0.009321968,0.009235997,0.01066321,0.01064602,0.1304239,0.1284473,0.0005085496,0.01420847,0,0,0.1483577,0.1717907,1,0
16,0.6170213,True,,0.01704563,0.01371873,0.04115137,0.03205123,0.3633153,0.3181298,0,0,0.1062409,0.1553784,0.0009591205,0.000669877,0.07171832,0.0001055598,0.1354984,0.06578498,0.01178981,0.03255371,0,0,0,0,0.008521399,0.008552962,0.08576394,0.04372248,0.04326563,0.1083092,0.01170567,0.01996588,0.05925271,0.05616992,0.06734994,0.08716603,0.01133241,0.04102876,0.01133241,0.03261552,0,0,0.07429966,0.08992855,0.02973784,0.02477067,0.06698007,0.05905716,0.05181327,0.05913726,0.06899606,0.058004,0.09829319,0.009321968,0.009235997,0.01066321,0.01064602,0.1304239,0.1284473,0.0005085496,0.01420847,0,0,0.1483577,0.1717907,1,0
17,0.6295999,True,,0.01636531,0.01183545,0.04166101,0.03766694,0.3500398,0.300145,0,0,0.1004094,0.1526407,0.0006344374,0.005559074,0.2015998,3.652647E-06,0.2169352,0.02930128,0.001286987,0.02438317,0,0,0,0,0.007906348,0.007930107,0.08121156,0.04839538,0.0551475,0.1022908,0.00359804,0.01707134,0.06738538,0.05519588,0.06593421,0.08281083,0.01583798,0.04156986,0.01583799,0.037482,0,0,0.07436451,0.0818739,0.03073323,0.0282859,0.06044636,0.05674556,0.05233921,0.04969822,0.07137469,0.05616067,0.09939733,0.009723401,0.004547514,0.01065774,0.01064574,0.1157415,0.1151577,0.0004192646,0.01531476,0,0,0.1445668,0.1663849,1,0
18,0.6436231,True,,0.01581698,0.01289126,0.04197984,0.04014507,0.3448367,0.293097,0,0,0.09797741,0.1511548,0.0004241737,0.003225886,0.02522559,1.616031E-05,0.06759491,0.04247363,0,0.02016434,0.0006219732,0,0,0,0.007415298,0.009762513,0.07113352,0.05064597,0.05990342,0.0993304,0.01937352,0.005357631,0.07097819,0.05975816,0.05853697,0.06304651,0.01818501,0.04191351,0.01818502,0.03984196,0,0,0.07440977,0.07823633,0.02644067,0.02998271,0.05719143,0.05540437,0.04739377,0.05074433,0.07266664,0.06001341,0.09803066,0.01000176,0.0023623,0.01065393,0.01064554,0.1162632,0.1101803,0.0003458261,0.01617619,0,0,0.1422987,0.1681957,1,0
19,0.658469,True,,0.01581698,0.01289126,0.04197984,0.04014507,0.3448367,0.293097,0,0,0.09797741,0.1511548,0.0004241737,0.003225886,0.02522559,1.616031E-05,0.06759491,0.04247363,0,0.02016434,0.0006219732,0,0,0,0.007415298,0.009762513,0.07113352,0.05064597,0.05990342,0.0993304,0.01937352,0.005357631,0.07097819,0.05975816,0.05853697,0.06304651,0.01818501,0.04191351,0.01818502,0.03984196,0,0,0.07440977,0.07823633,0.02644067,0.02998271,0.05719143,0.05540437,0.04739377,0.05074433,0.07266664,0.06001341,0.09803066,0.01000176,0.0023623,0.01065393,0.01064554,0.1162632,0.1101803,0.0003458261,0.01617619,0,0,0.1422987,0.1681957,1,0
