FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
1121,14.887,-1.477204,-1,8.083265,4,0,Plane
1121,14.887,-1.519901,-1,8.064024,4,0,Plane
1122,14.90119,-1.355516,-1,8.226083,4,0,Plane
1122,14.90119,-1.458554,-1,8.179509,4,0,Plane
1123,14.91513,-1.364395,-1,8.266363,4,0,Plane
1123,14.91513,-1.46821,-1,8.21959,4,0,Plane
1124,14.929,-0.3161901,0.8763406,1.683205,4,0,Sphere
1124,14.929,-0.2946155,0.8781487,1.684863,4,0,Sphere
1125,14.94362,-0.3162372,0.8753476,1.683976,5,0,Sphere
1125,14.94362,-0.2946836,0.8771562,1.685637,4,0,Sphere
1126,14.95819,-0.2955729,1.151674,1.566743,5,0,Sphere
1126,14.95819,-0.2897612,1.152066,1.567291,5,0,Sphere
1127,14.97121,-0.2955608,1.150284,1.566897,6,0,Sphere
1127,14.97121,-0.289752,1.150675,1.567448,5,0,Sphere
1128,14.98538,-0.2954276,1.149039,1.567032,6,0,Sphere
1128,14.98538,-0.2896245,1.149429,1.56761,6,0,Sphere
1129,15.0009,-0.2963939,1.163887,1.565409,6,0,Sphere
1129,15.0009,-0.2904801,1.164282,1.565802,6,0,Sphere
1130,15.0151,-0.2965645,1.160838,1.56575,6,0,Sphere
1130,15.0151,-0.2906541,1.161238,1.566111,6,0,Sphere
1131,15.02789,-0.297443,1.171647,1.564572,6,0,Sphere
1131,15.02789,-0.2918308,1.172024,1.5647,6,0,Sphere
1132,15.04052,-0.2980137,1.171427,1.564607,6,0,Sphere
1132,15.04052,-0.2923785,1.171806,1.564628,6,0,Sphere
1133,15.05435,-0.2984229,1.159474,1.565936,6,0,Sphere
1133,15.05435,-0.2928119,1.159857,1.565886,6,0,Sphere
1134,15.06796,-0.2991988,1.160148,1.565876,6,0,Sphere
1134,15.06796,-0.2935649,1.160536,1.565726,6,0,Sphere
1135,15.08295,-0.2995647,1.159729,1.565929,6,0,Sphere
1135,15.08295,-0.2939308,1.160123,1.565778,6,0,Sphere
1136,15.09673,-0.3006346,1.177557,1.563979,6,0,Sphere
1136,15.09673,-0.294928,1.177952,1.563827,6,0,Sphere
1137,15.11015,-0.3005526,1.176441,1.564101,6,0,Sphere
1137,15.11015,-0.2948456,1.176845,1.563948,6,0,Sphere
1138,15.12434,-0.3001838,1.175308,1.564219,6,0,Sphere
1138,15.12434,-0.2944744,1.17572,1.564065,6,0,Sphere
1139,15.13839,-0.3004697,1.174733,1.564288,6,0,Sphere
1139,15.13839,-0.2947595,1.175148,1.564134,6,0,Sphere
1140,15.15416,-0.3015781,1.179922,1.563736,6,0,Sphere
1140,15.15416,-0.2897887,1.180773,1.564082,6,0,Sphere
1141,15.16957,-0.3149821,1.177908,1.564214,6,0,Sphere
1141,15.16957,-0.2968379,1.179206,1.563725,6,0,Sphere
1142,15.17979,-0.3159256,1.177075,1.564324,6,0,Sphere
1142,15.17979,-0.2977841,1.178371,1.563835,6,0,Sphere
1143,15.19284,-0.3040068,1.177726,1.564025,6,0,Sphere
1143,15.19284,-0.292138,1.178572,1.563915,6,0,Sphere
