FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.4109559,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
5,0.4274347,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,0.437158,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
7,0.4505765,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
8,0.4647313,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
9,0.478375,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
10,0.4921632,True,,8.769462E-07,5.377914E-07,7.49942E-10,6.267574E-10,0.007700923,0.007777289,0,0,1.241664E-05,0.005596175,0.06397948,0.09572043,8.896948E-15,2.765726E-15,0,0,0.1769135,0.2553342,0,0,0.286246,0.2840273,4.495208E-06,0.001963793,0.02333796,1.159834E-05,1.158284E-05,8.484421E-06,2.972989E-08,0.04297642,0.00569314,1.246144E-05,0.008184163,0.0244808,1.419966E-11,1.646506E-09,1.697715E-11,1.126326E-05,0,0,1.156493E-05,1.153165E-05,0.09500986,0.09579023,0.06858989,0.02516324,0.057421,0.02316206,2.159817E-08,2.552564E-08,0.01673392,0.2429019,0.2107854,9.363599E-11,0,8.713226E-11,0,1.002361E-05,0.001971135,0.2105248,0.5450606,0.03357013,0.06396145,1,1
11,0.5227485,True,,7.250713E-07,4.446558E-07,5.285186E-10,4.417024E-10,0.003761267,0.008652926,0,0,8.621726E-06,0.03387116,0.1209665,0.143902,6.268098E-15,1.948376E-15,0,0,0.1766711,0.2555157,0,0,0.2710378,0.2689241,3.716484E-06,0.003436142,0.1264421,8.112663E-06,0.005724469,0.0530506,1.891528E-08,0.02429699,0.003624971,8.653135E-06,0.00935825,0.02261711,1.000601E-11,1.159997E-09,1.196327E-11,7.876349E-06,0,0,8.024853E-06,8.001535E-06,0.07035695,0.04941703,0.05681774,0.0287754,0.042255,0.02212119,1.520875E-08,1.797398E-08,0.01839611,0.3362292,0.303904,6.599204E-11,0,6.140811E-11,0,8.286922E-06,0.006633345,0.3052765,0.6203694,0.1077531,0.1305929,1,1
12,0.5359976,True,,5.995038E-07,3.676522E-07,3.724776E-10,3.112918E-10,0.001940246,0.009257742,0,0,6.002062E-06,0.04893372,0.1460874,0.1677676,4.416332E-15,1.372691E-15,0,0,0.1707854,0.2499899,0,0,0.2559056,0.2539523,3.072717E-06,0.007620846,0.1761075,5.682009E-06,0.003673829,0.09988843,1.22409E-08,0.01756491,0.00234739,6.024102E-06,0.01666498,0.02188421,7.051151E-12,8.173011E-10,8.430451E-12,5.515378E-06,0,0,5.583389E-06,5.567038E-06,0.05426621,0.03968333,0.03799387,0.03036918,0.0338391,0.01465629,1.071122E-08,1.26585E-08,0.01847146,0.3103965,0.2984199,4.650983E-11,0,4.327901E-11,0,6.851291E-06,0.01367704,0.3615496,0.5925061,0.1350358,0.1566617,1,1
13,0.5628116,True,,4.098405E-07,2.513407E-07,1.850052E-10,1.546139E-10,0.0005916012,0.002113921,0,0,2.926282E-06,0.05291972,0.1489793,0.1702829,2.192671E-15,6.81468E-16,0,0,0.1705549,0.2495501,0,0,0.2330726,0.231299,2.100457E-06,0.01869997,0.2213704,2.795775E-06,0.004411969,0.08598586,5.338135E-09,0.01382305,0.001024692,2.937156E-06,0.02041137,0.02143384,3.501725E-12,4.057818E-10,4.186736E-12,2.712953E-06,0,0,2.71983E-06,2.71177E-06,0.02098928,0.01774442,0.02566963,0.01503062,0.02613784,0.01128386,5.314692E-09,6.280729E-09,0.0169034,0.1847918,0.1973522,2.310196E-11,0,2.149704E-11,0,0.006046006,0.03531941,0.2969464,0.525732,0.1311205,0.1322798,1,1
14,0.5924042,True,,4.098405E-07,2.513407E-07,1.850052E-10,1.546139E-10,0.0005916012,0.002113921,0,0,2.926282E-06,0.05291972,0.1489793,0.1702829,2.192671E-15,6.81468E-16,0,0,0.1705549,0.2495501,0,0,0.2330726,0.231299,2.100457E-06,0.01869997,0.2213704,2.795775E-06,0.004411969,0.08598586,5.338135E-09,0.01382305,0.001024692,2.937156E-06,0.02041137,0.02143384,3.501725E-12,4.057818E-10,4.186736E-12,2.712953E-06,0,0,2.71983E-06,2.71177E-06,0.02098928,0.01774442,0.02566963,0.01503062,0.02613784,0.01128386,5.314692E-09,6.280729E-09,0.0169034,0.1847918,0.1973522,2.310196E-11,0,2.149704E-11,0,0.006046006,0.03531941,0.2969464,0.525732,0.1311205,0.1322798,1,1
15,0.6229371,True,,4.098405E-07,2.513407E-07,1.850052E-10,1.546139E-10,0.0005916012,0.002113921,0,0,2.926282E-06,0.05291972,0.1489793,0.1702829,2.192671E-15,6.81468E-16,0,0,0.1705549,0.2495501,0,0,0.2330726,0.231299,2.100457E-06,0.01869997,0.2213704,2.795775E-06,0.004411969,0.08598586,5.338135E-09,0.01382305,0.001024692,2.937156E-06,0.02041137,0.02143384,3.501725E-12,4.057818E-10,4.186736E-12,2.712953E-06,0,0,2.71983E-06,2.71177E-06,0.02098928,0.01774442,0.02566963,0.01503062,0.02613784,0.01128386,5.314692E-09,6.280729E-09,0.0169034,0.1847918,0.1973522,2.310196E-11,0,2.149704E-11,0,0.006046006,0.03531941,0.2969464,0.525732,0.1311205,0.1322798,1,1
16,0.6549749,True,,2.801816E-07,1.718263E-07,9.189129E-11,7.679574E-11,0.0002078714,0.002809865,0,0,1.435102E-06,0.023096,0.01315032,0.01683924,1.088795E-15,3.383698E-16,0,0,0.307774,0.3674725,0,0,0.07954812,0.07880338,1.435876E-06,0.01905827,0.2299465,1.379745E-06,0.0067309,0.03581168,2.423545E-09,0.019235,0.000465539,1.440478E-06,0.007589452,0.00702339,1.739123E-12,0.005743026,2.079341E-12,0.005734637,0,0,0.04293997,0.04293993,0.006278705,0.005671814,0.005275465,0.001263487,0.008018735,0.001391228,0.06337476,0.0429557,0.09492058,0.004403099,0.005001856,1.147501E-11,0,1.067779E-11,0,0.00391953,0.03141864,0.001433264,0.09236474,0.02615975,0.03625891,1,1
17,0.6848094,True,,2.801816E-07,1.718263E-07,9.189129E-11,7.679574E-11,0.0002078714,0.002809865,0,0,1.435102E-06,0.023096,0.01315032,0.01683924,1.088795E-15,3.383698E-16,0,0,0.307774,0.3674725,0,0,0.07954812,0.07880338,1.435876E-06,0.01905827,0.2299465,1.379745E-06,0.0067309,0.03581168,2.423545E-09,0.019235,0.000465539,1.440478E-06,0.007589452,0.00702339,1.739123E-12,0.005743026,2.079341E-12,0.005734637,0,0,0.04293997,0.04293993,0.006278705,0.005671814,0.005275465,0.001263487,0.008018735,0.001391228,0.06337476,0.0429557,0.09492058,0.004403099,0.005001856,1.147501E-11,0,1.067779E-11,0,0.00391953,0.03141864,0.001433264,0.09236474,0.02615975,0.03625891,1,1
18,0.7133961,True,,2.316611E-07,1.420705E-07,6.476231E-11,0.00574344,0.0001283394,0.001501031,0,0,0.005728768,0.02232443,0.002143214,0.002346954,7.672733E-16,2.384435E-16,0,0,0.369875,0.423073,0,0,0.01928083,0.01909086,1.187196E-06,0.01694144,0.2924906,0.01400246,0.02456471,0.06416868,1.651235E-09,0.007724592,0.000317269,1.010393E-06,0.00360121,0.003133808,1.225638E-12,0.03401321,1.465408E-12,0.02454143,0,0,0.2547295,0.2652731,0.002653098,0.002412906,0.001864328,0.0004294064,0.002904112,0.005320638,0.2871905,0.2231569,0.191625,0.0004825416,0.0005862347,8.087347E-12,0,7.525472E-12,0,0.003176789,0.02916841,0.0001283197,0.02263221,0.004212389,0.005293702,1,1
19,0.7429873,True,,1.915425E-07,1.174672E-07,0.005743505,0.01572639,8.097443E-05,0.0008369226,0,0,0.008230138,0.02688038,0.0004029329,0.0003798738,5.407042E-16,1.6803E-16,0,0,0.369875,0.423073,0,0,0.01928083,0.01909086,9.815847E-07,0.01277046,0.2975244,0.02668247,0.03787169,0.09889681,1.131548E-09,0.003877864,0.0002174636,7.092988E-07,0.001811248,0.001493148,0.005743409,0.09774268,1.032742E-12,0.09675276,0,0,0.4300688,0.4408469,0.001204602,0.001102141,0.0007210969,0.0001603097,0.001148438,0.007480947,0.4310955,0.37685,0.2062121,6.193989E-05,8.030095E-05,5.699757E-12,0,5.303755E-12,0,0.00258362,0.02425103,1.353427E-05,0.01982446,0.0007828915,0.000895854,1,1
20,0.7698637,True,,1.30946E-07,8.030537E-08,0.009403287,0.02386848,0.003279109,0.002978616,0,0,0.01931307,0.04000465,2.12408E-05,1.518478E-05,2.685361E-16,8.344828E-17,0,0,0.2822712,0.3420671,0,0,0.01204991,0.01194554,6.710342E-07,0.007580937,0.3034848,0.04135864,0.04495106,0.1146707,5.386537E-10,0.002914685,0.0001035541,3.50225E-07,0.0005301182,0.0004001297,0.05522341,0.1569819,0.04525907,0.1570005,0,0,0.5949103,0.6052353,0.0002981971,0.0002755496,0.0001365091,2.857589E-05,0.0002257112,0.003703905,0.5223386,0.4797728,0.2003541,1.60401E-06,2.349929E-06,2.831136E-12,0,2.634432E-12,0,0.001722668,0.01312145,2.41546E-07,0.01089168,4.040733E-05,3.889458E-05,1,1
21,0.7984152,True,,1.30946E-07,8.030537E-08,0.009403287,0.02386848,0.003279109,0.002978616,0,0,0.01931307,0.04000465,2.12408E-05,1.518478E-05,2.685361E-16,8.344828E-17,0,0,0.2822712,0.3420671,0,0,0.01204991,0.01194554,6.710342E-07,0.007580937,0.3034848,0.04135864,0.04495106,0.1146707,5.386537E-10,0.002914685,0.0001035541,3.50225E-07,0.0005301182,0.0004001297,0.05522341,0.1569819,0.04525907,0.1570005,0,0,0.5949103,0.6052353,0.0002981971,0.0002755496,0.0001365091,2.857589E-05,0.0002257112,0.003703905,0.5223386,0.4797728,0.2003541,1.60401E-06,2.349929E-06,2.831136E-12,0,2.634432E-12,0,0.001722668,0.01312145,2.41546E-07,0.01089168,4.040733E-05,3.889458E-05,1,1
