ObjectName, first found frame Count, firstFoundTime, Cumulative Gaze Duration, numberOfGazes, number of gaze points, mean gaze duration
Sphere,180,4.941571,10.91481,3,1576,3.638269
Cube,-1,-1,0,0,0,0
