fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.2506995,1.253738,1.574297,5.207433,0.4982128
1,-0.1905082,1.296487,1.590852,5.501811,0.02991629
2,-0.1312961,1.435796,1.671263,5.811171,0.5415373
3,-0.2718455,0.9901056,1.615479,6.401682,0.5538669
4,-0.1001405,1.21448,1.619262,6.985054,0.5553722
5,-0.3947475,1.248231,1.569006,7.300522,0.01329517
6,-0.6039826,1.316197,1.662947,7.547824,0.4279723
7,-0.4456223,1.259551,1.581082,7.808029,0.02480793
8,-0.2775168,1.163008,1.568259,8.165902,0.6385632
9,-0.325084,1.11145,1.571751,8.517169,-0.01430988
10,-0.3815951,0.9352695,1.642841,8.557672,0.0309391
11,-0.3797288,0.9090921,1.662205,8.846419,0.5007648
12,-1.158063,-1,7.533742,9.141051,0.02998734
13,-0.3793678,-1,5.419137,9.210746,0.027668
14,-0.04388448,-1,5.799189,9.506311,0.5139484
15,-0.443684,-1,5.975934,9.802444,0.01159382
16,-0.2502906,0.9838104,1.622229,9.837092,-0.01486969
17,-0.2826878,1.154984,1.568226,10.05507,0.3898211
18,-0.1884493,1.452383,1.657423,10.35385,0.1248569
19,-0.2909714,1.430121,1.621807,10.92941,0.9721117
20,-0.1597772,0.9836519,1.649035,11.82514,0.7334509
21,-0.1240851,1.020046,1.645515,12.23276,0.01374435
22,-0.076653,1.330747,1.655184,12.51634,0.4988279
23,-0.279232,1.296479,1.573591,12.79364,-0.01398563
24,-0.4860758,1.246321,1.589852,13.17148,0.7079296
25,-0.3585017,1.260455,1.568418,13.56936,0.02816677
26,-0.3072182,1.297281,1.572581,13.96395,0.7057819
27,-0.2567443,1.15349,1.572925,14.34983,-0.01355171
28,-0.6132955,-1,7.92449,14.38482,0.01286125
29,-0.05448911,-1,5.557143,14.58873,0.3467646
30,-0.5839658,-1,8.360805,14.79422,-0.01365566
31,-0.248688,1.091622,1.583749,14.82896,0.01602077
32,-0.3275701,1.249223,1.566848,15.95,2.181177
