FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
180,4.941571,-0.2763425,1.229502,1.567309,-1,0,Sphere
180,4.941571,-0.2809753,1.229035,1.566429,-1,0,Sphere
181,4.968681,-0.2392643,1.260966,1.577068,0,0,Sphere
181,4.968681,-0.2569711,1.259225,1.573706,-1,0,Sphere
182,4.984512,-0.2361479,1.261141,1.577647,0,0,Sphere
182,4.984512,-0.2538705,1.259399,1.574282,0,0,Sphere
183,4.996759,-0.2309881,1.263582,1.578812,0,0,Sphere
183,4.996759,-0.2487547,1.261851,1.575443,0,0,Sphere
184,5.012299,-0.2292614,1.264398,1.579199,0,0,Sphere
184,5.012299,-0.2470435,1.262671,1.575832,0,0,Sphere
185,5.025608,-0.2335522,1.261401,1.578139,0,0,Sphere
185,5.025608,-0.2449372,1.260262,1.575976,0,0,Sphere
186,5.038892,-0.238149,1.261039,1.577276,0,0,Sphere
186,5.038892,-0.2494975,1.259902,1.575119,0,0,Sphere
187,5.054605,-0.2366243,1.257666,1.577218,0,0,Sphere
187,5.054605,-0.2479633,1.256547,1.575068,0,0,Sphere
188,5.06775,-0.2349827,1.257001,1.577437,0,0,Sphere
188,5.06775,-0.2463278,1.255885,1.575298,0,0,Sphere
189,5.079141,-0.2349827,1.257,1.577437,0,0,Sphere
189,5.079141,-0.2463277,1.255885,1.575298,0,0,Sphere
190,5.09265,-0.239637,1.25591,1.576507,0,0,Sphere
190,5.09265,-0.2509531,1.254798,1.574358,0,0,Sphere
191,5.106977,-0.241978,1.254401,1.575937,0,0,Sphere
191,5.106977,-0.2532872,1.253286,1.573789,0,0,Sphere
192,5.120389,-0.2413481,1.254146,1.576026,0,0,Sphere
192,5.120389,-0.2526497,1.253032,1.573879,0,0,Sphere
193,5.134046,-0.2430303,1.255187,1.575824,0,0,Sphere
193,5.134046,-0.2543339,1.254058,1.573676,0,0,Sphere
194,5.147727,-0.242645,1.254982,1.575874,0,0,Sphere
194,5.147727,-0.2539519,1.25385,1.573725,0,0,Sphere
195,5.161601,-0.2422593,1.254778,1.575923,0,0,Sphere
195,5.161601,-0.2535695,1.253643,1.573773,0,0,Sphere
196,5.175653,-0.2451002,1.25401,1.575336,0,0,Sphere
196,5.175653,-0.2563906,1.25287,1.573189,0,0,Sphere
197,5.189147,-0.2453369,1.253672,1.57526,0,0,Sphere
197,5.189147,-0.2629814,1.251886,1.571905,0,0,Sphere
198,5.204947,-0.2465974,1.25199,1.574869,0,0,Sphere
198,5.204947,-0.2642242,1.250197,1.571516,0,0,Sphere
199,5.219118,-0.2470593,1.251332,1.574721,0,0,Sphere
199,5.219118,-0.2646808,1.249533,1.571369,0,0,Sphere
200,5.230175,-0.2539122,1.250017,1.573357,0,0,Sphere
200,5.230175,-0.2651366,1.248866,1.571221,0,0,Sphere
201,5.244692,-0.2529426,1.245207,1.573062,0,0,Sphere
201,5.244692,-0.2641366,1.244054,1.570932,0,0,Sphere
202,5.258618,-0.2530671,1.243562,1.572879,0,0,Sphere
202,5.258618,-0.2642507,1.242409,1.57075,0,0,Sphere
203,5.272231,-0.2528996,1.243123,1.572866,0,0,Sphere
203,5.272231,-0.2640817,1.241986,1.57074,0,0,Sphere
204,5.285976,-0.2529977,1.241999,1.572739,0,0,Sphere
